wavelength,FL12
3.8e-07,0.96
3.85e-07,0.64
3.9e-07,0.4
3.95e-07,0.33
4e-07,1.19
4.05e-07,12.48
4.1e-07,1.12
4.15e-07,0.94
4.2e-07,1.08
4.25e-07,1.37
4.3e-07,1.78
4.35e-07,29.05
4.4e-07,7.9
4.45e-07,2.65
4.5e-07,2.71
4.55e-07,2.65
4.6e-07,2.49
4.65e-07,2.33
4.7e-07,2.1
4.75e-07,1.91
4.8e-07,3.01
4.85e-07,10.83
4.9e-07,11.88
4.95e-07,6.88
5e-07,3.43
5.05e-07,1.49
5.1e-07,0.92
5.15e-07,0.71
5.2e-07,0.6
5.25e-07,0.63
5.3e-07,1.1
5.35e-07,4.56
5.4e-07,34.4
5.45e-07,65.4
5.5e-07,29.48
5.55e-07,7.16
5.6e-07,3.08
5.65e-07,2.47
5.7e-07,2.27
5.75e-07,5.09
5.8e-07,11.96
5.85e-07,15.32
5.9e-07,14.27
5.95e-07,11.86
6e-07,9.28
6.05e-07,12.31
6.1e-07,68.53
6.15e-07,53.02
6.2e-07,14.67
6.25e-07,14.38
6.3e-07,14.71
6.35e-07,6.46
6.4e-07,2.57
6.45e-07,2.75
6.5e-07,4.18
6.55e-07,3.44
6.6e-07,2.81
6.65e-07,2.42
6.7e-07,1.64
6.75e-07,1.36
6.8e-07,1.49
6.85e-07,2.14
6.9e-07,2.34
6.95e-07,1.42
7e-07,1.61
7.05e-07,5.04
7.1e-07,6.98
7.15e-07,3.19
7.2e-07,0.71
7.25e-07,0.3
7.3e-07,0.26
7.35e-07,0.23
7.4e-07,0.28
7.45e-07,0.28
7.5e-07,0.21
7.55e-07,0.17
7.6e-07,0.21
7.65e-07,0.19
7.7e-07,0.15
7.75e-07,0.1
7.8e-07,0.05
