wavelength,HP2
3.8000000000000001e-07,2.6400000000000001
3.8500000000000002e-07,2.77
3.9000000000000002e-07,3.4199999999999999
3.9500000000000003e-07,3.6800000000000002
4.0000000000000003e-07,4.3300000000000001
4.0500000000000004e-07,5.4999999999999991
4.1000000000000004e-07,5.9400000000000004
4.1500000000000005e-07,7.2000000000000011
4.2e-07,9.0199999999999996
4.2500000000000001e-07,10.27
4.3000000000000001e-07,12.48
4.3500000000000002e-07,16.820000000000004
4.4000000000000002e-07,16.039999999999999
4.4500000000000003e-07,15.259999999999998
4.5000000000000003e-07,22.579999999999998
4.5500000000000004e-07,20.07
4.6000000000000004e-07,15.130000000000001
4.6500000000000005e-07,25.27
4.7000000000000005e-07,28.039999999999996
4.75e-07,15.989999999999998
4.8000000000000006e-07,10.400000000000002
4.8500000000000002e-07,11.100000000000001
4.9000000000000007e-07,13.439999999999998
4.9500000000000003e-07,22.620000000000005
5.0000000000000008e-07,49.709999999999994
5.0500000000000004e-07,17.210000000000001
5.0999999999999999e-07,17.120000000000001
5.1500000000000005e-07,27.260000000000002
5.2e-07,20.02
5.2500000000000006e-07,21.539999999999996
5.3000000000000001e-07,23.359999999999999
5.3500000000000007e-07,25.66
5.4000000000000002e-07,29.690000000000005
5.4500000000000008e-07,43.120000000000005
5.5000000000000003e-07,98.299999999999983
5.5500000000000009e-07,125.59999999999999
5.6000000000000004e-07,134.56999999999999
5.6499999999999999e-07,149.69999999999999
5.7000000000000005e-07,166.12000000000003
5.75e-07,98.769999999999996
5.8000000000000006e-07,30.470000000000002
5.8500000000000001e-07,1.1700000000000006
5.9000000000000007e-07,0.3899999999999999
5.9500000000000002e-07,1.6499999999999999
6.0000000000000008e-07,21.41
6.0500000000000003e-07,76.110000000000014
6.1000000000000009e-07,126.15999999999998
6.1500000000000004e-07,161.95999999999998
6.1999999999999999e-07,160.06
6.2500000000000005e-07,158.19
6.3e-07,153.69
6.3500000000000006e-07,147.40000000000001
6.4000000000000001e-07,140.60000000000002
6.4500000000000007e-07,134.91999999999996
6.5000000000000002e-07,127.59000000000002
6.5500000000000008e-07,124.64999999999999
6.6000000000000003e-07,118.02
6.6500000000000009e-07,113.93999999999997
6.7000000000000004e-07,118.09999999999999
6.75e-07,115.16000000000001
6.8000000000000005e-07,102.84999999999999
6.8500000000000001e-07,90.539999999999992
6.9000000000000006e-07,83.340000000000003
6.9500000000000002e-07,79.439999999999998
7.0000000000000007e-07,76.969999999999999
7.0500000000000003e-07,74.849999999999994
7.1000000000000008e-07,73.120000000000005
7.1500000000000004e-07,71.510000000000005
7.2000000000000009e-07,70.129999999999995
7.2500000000000005e-07,69.040000000000006
7.3e-07,67.47999999999999
7.3500000000000006e-07,66.700000000000017
7.4000000000000001e-07,66.310000000000002
7.4500000000000007e-07,65.140000000000001
7.5000000000000002e-07,65.700000000000003
7.5500000000000008e-07,64.790000000000006
7.6000000000000003e-07,64.099999999999994
7.6500000000000009e-07,83.040000000000006
7.7000000000000004e-07,86.25
7.750000000000001e-07,63.93
7.8000000000000005e-07,64.920000000000002
