wavelength,green
3.8e-07,0.055
3.85e-07,0.056
3.9e-07,0.057
3.95e-07,0.058
4e-07,0.058
4.05e-07,0.058
4.1e-07,0.059
4.15e-07,0.059
4.2e-07,0.059
4.25e-07,0.06
4.3e-07,0.062
4.35e-07,0.063
4.4e-07,0.065
4.45e-07,0.067
4.5e-07,0.07
4.55e-07,0.074
4.6e-07,0.078
4.65e-07,0.084
4.7e-07,0.091
4.75e-07,0.101
4.8e-07,0.113
4.85e-07,0.125
4.9e-07,0.14
4.95e-07,0.157
5e-07,0.18
5.05e-07,0.208
5.1e-07,0.244
5.15e-07,0.286
5.2e-07,0.324
5.25e-07,0.351
5.3e-07,0.363
5.35e-07,0.363
5.4e-07,0.355
5.45e-07,0.342
5.5e-07,0.323
5.55e-07,0.303
5.6e-07,0.281
5.65e-07,0.26
5.7e-07,0.238
5.75e-07,0.217
5.8e-07,0.196
5.85e-07,0.177
5.9e-07,0.158
5.95e-07,0.14
6e-07,0.124
6.05e-07,0.111
6.1e-07,0.101
6.15e-07,0.094
6.2e-07,0.089
6.25e-07,0.086
6.3e-07,0.084
6.35e-07,0.082
6.4e-07,0.08
6.45e-07,0.078
6.5e-07,0.077
6.55e-07,0.076
6.6e-07,0.075
6.65e-07,0.075
6.7e-07,0.075
6.75e-07,0.077
6.8e-07,0.078
6.85e-07,0.08
6.9e-07,0.082
6.95e-07,0.085
7e-07,0.088
7.05e-07,0.089
7.1e-07,0.089
7.15e-07,0.09
7.2e-07,0.09
7.25e-07,0.09
7.3e-07,0.089
7.35e-07,0.092
7.4e-07,0.094
7.45e-07,0.097
7.5e-07,0.102
7.55e-07,0.106
7.6e-07,0.11
7.65e-07,0.111
7.7e-07,0.112
7.75e-07,0.112
7.8e-07,0.112
