wavelength,red
3.8e-07,0.052
3.85e-07,0.052
3.9e-07,0.052
3.95e-07,0.052
4e-07,0.051
4.05e-07,0.051
4.1e-07,0.05
4.15e-07,0.05
4.2e-07,0.049
4.25e-07,0.049
4.3e-07,0.049
4.35e-07,0.049
4.4e-07,0.049
4.45e-07,0.049
4.5e-07,0.049
4.55e-07,0.048
4.6e-07,0.048
4.65e-07,0.047
4.7e-07,0.047
4.75e-07,0.046
4.8e-07,0.045
4.85e-07,0.045
4.9e-07,0.044
4.95e-07,0.044
5e-07,0.044
5.05e-07,0.044
5.1e-07,0.044
5.15e-07,0.044
5.2e-07,0.044
5.25e-07,0.044
5.3e-07,0.044
5.35e-07,0.044
5.4e-07,0.045
5.45e-07,0.046
5.5e-07,0.047
5.55e-07,0.048
5.6e-07,0.05
5.65e-07,0.053
5.7e-07,0.057
5.75e-07,0.063
5.8e-07,0.072
5.85e-07,0.086
5.9e-07,0.109
5.95e-07,0.143
6e-07,0.192
6.05e-07,0.256
6.1e-07,0.332
6.15e-07,0.413
6.2e-07,0.486
6.25e-07,0.55
6.3e-07,0.598
6.35e-07,0.631
6.4e-07,0.654
6.45e-07,0.672
6.5e-07,0.686
6.55e-07,0.694
6.6e-07,0.7
6.65e-07,0.704
6.7e-07,0.707
6.75e-07,0.712
6.8e-07,0.718
6.85e-07,0.721
6.9e-07,0.724
6.95e-07,0.727
7e-07,0.729
7.05e-07,0.73
7.1e-07,0.73
7.15e-07,0.729
7.2e-07,0.727
7.25e-07,0.728
7.3e-07,0.729
7.35e-07,0.729
7.4e-07,0.727
7.45e-07,0.723
7.5e-07,0.721
7.55e-07,0.724
7.6e-07,0.728
7.65e-07,0.727
7.7e-07,0.702
7.75e-07,0.68
7.8e-07,0.664
