wavelength,z_bar
3.6e-07,5.35027e-07
3.61e-07,8.1072e-07
3.62e-07,1.2212e-06
3.63e-07,1.8287e-06
3.64e-07,2.7222e-06
3.65e-07,4.0283e-06
3.66e-07,5.9257e-06
3.67e-07,8.6651e-06
3.68e-07,1.2596e-05
3.69e-07,1.8201e-05
3.7e-07,2.61437e-05
3.71e-07,3.733e-05
3.72e-07,5.2987e-05
3.73e-07,7.4764e-05
3.74e-07,0.00010487
3.75e-07,0.00014622
3.76e-07,0.00020266
3.77e-07,0.00027923
3.78e-07,0.00038245
3.79e-07,0.00052072
3.8e-07,0.000704776
3.81e-07,0.00094823
3.82e-07,0.0012682
3.83e-07,0.0016861
3.84e-07,0.0022285
3.85e-07,0.0029278
3.86e-07,0.0038237
3.87e-07,0.0049642
3.88e-07,0.0064067
3.89e-07,0.0082193
3.9e-07,0.0104822
3.91e-07,0.013289
3.92e-07,0.016747
3.93e-07,0.02098
3.94e-07,0.026127
3.95e-07,0.032344
3.96e-07,0.039802
3.97e-07,0.048691
3.98e-07,0.05921
3.99e-07,0.071576
4e-07,0.0860109
4.01e-07,0.10274
4.02e-07,0.122
4.03e-07,0.14402
4.04e-07,0.16899
4.05e-07,0.19712
4.06e-07,0.22857
4.07e-07,0.26347
4.08e-07,0.3019
4.09e-07,0.34387
4.1e-07,0.389366
4.11e-07,0.43797
4.12e-07,0.48922
4.13e-07,0.5429
4.14e-07,0.59881
4.15e-07,0.65676
4.16e-07,0.71658
4.17e-07,0.77812
4.18e-07,0.84131
4.19e-07,0.90611
4.2e-07,0.972542
4.21e-07,1.0389
4.22e-07,1.1031
4.23e-07,1.1651
4.24e-07,1.2249
4.25e-07,1.2825
4.26e-07,1.3382
4.27e-07,1.3926
4.28e-07,1.4461
4.29e-07,1.4994
4.3e-07,1.55348
4.31e-07,1.6072
4.32e-07,1.6589
4.33e-07,1.7082
4.34e-07,1.7548
4.35e-07,1.7985
4.36e-07,1.8392
4.37e-07,1.8766
4.38e-07,1.9105
4.39e-07,1.9408
4.4e-07,1.96728
4.41e-07,1.9891
4.42e-07,2.0057
4.43e-07,2.0174
4.44e-07,2.0244
4.45e-07,2.0273
4.46e-07,2.0264
4.47e-07,2.0223
4.48e-07,2.0153
4.49e-07,2.006
4.5e-07,1.9948
4.51e-07,1.9814
4.52e-07,1.9653
4.53e-07,1.9464
4.54e-07,1.9248
4.55e-07,1.9007
4.56e-07,1.8741
4.57e-07,1.8451
4.58e-07,1.8139
4.59e-07,1.7806
4.6e-07,1.74537
4.61e-07,1.7091
4.62e-07,1.6723
4.63e-07,1.6347
4.64e-07,1.5956
4.65e-07,1.5549
4.66e-07,1.5122
4.67e-07,1.4673
4.68e-07,1.4199
4.69e-07,1.37
4.7e-07,1.31756
4.71e-07,1.2624
4.72e-07,1.205
4.73e-07,1.1466
4.74e-07,1.088
4.75e-07,1.0302
4.76e-07,0.97383
4.77e-07,0.91943
4.78e-07,0.86746
4.79e-07,0.81828
4.8e-07,0.772125
4.81e-07,0.72829
4.82e-07,0.68604
4.83e-07,0.64553
4.84e-07,0.60685
4.85e-07,0.57006
4.86e-07,0.53522
4.87e-07,0.50234
4.88e-07,0.4714
4.89e-07,0.44239
4.9e-07,0.415254
4.91e-07,0.390024
4.92e-07,0.366399
4.93e-07,0.344015
4.94e-07,0.322689
4.95e-07,0.302356
4.96e-07,0.283036
4.97e-07,0.264816
4.98e-07,0.247848
4.99e-07,0.232318
5e-07,0.218502
5.01e-07,0.205851
5.02e-07,0.193596
5.03e-07,0.181736
5.04e-07,0.170281
5.05e-07,0.159249
5.06e-07,0.148673
5.07e-07,0.138609
5.08e-07,0.129096
5.09e-07,0.120215
5.1e-07,0.112044
5.11e-07,0.10471
5.12e-07,0.098196
5.13e-07,0.092361
5.14e-07,0.087088
5.15e-07,0.082248
5.16e-07,0.077744
5.17e-07,0.073456
5.18e-07,0.069268
5.19e-07,0.06506
5.2e-07,0.060709
5.21e-07,0.056457
5.22e-07,0.052609
5.23e-07,0.049122
5.24e-07,0.045954
5.25e-07,0.04305
5.26e-07,0.040368
5.27e-07,0.037839
5.28e-07,0.035384
5.29e-07,0.032949
5.3e-07,0.030451
5.31e-07,0.028029
5.32e-07,0.025862
5.33e-07,0.02392
5.34e-07,0.022174
5.35e-07,0.020584
5.36e-07,0.019127
5.37e-07,0.01774
5.38e-07,0.016403
5.39e-07,0.015064
5.4e-07,0.013676
5.41e-07,0.012308
5.42e-07,0.011056
5.43e-07,0.009915
5.44e-07,0.008872
5.45e-07,0.007918
5.46e-07,0.00703
5.47e-07,0.006223
5.48e-07,0.005453
5.49e-07,0.004714
5.5e-07,0.003988
5.51e-07,0.003289
5.52e-07,0.002646
5.53e-07,0.002063
5.54e-07,0.001533
5.55e-07,0.001091
5.56e-07,0.000711
5.57e-07,0.000407
