wavelength,y_bar
6.2e-07,0.398057
6.21e-07,0.385835
6.22e-07,0.373951
6.23e-07,0.362311
6.24e-07,0.350863
6.25e-07,0.339554
6.26e-07,0.328309
6.27e-07,0.317118
6.28e-07,0.305936
6.29e-07,0.294737
6.3e-07,0.283493
6.31e-07,0.272222
6.32e-07,0.26099
6.33e-07,0.249877
6.34e-07,0.238946
6.35e-07,0.228254
6.36e-07,0.217853
6.37e-07,0.20778
6.38e-07,0.198072
6.39e-07,0.188748
6.4e-07,0.179828
6.41e-07,0.171285
6.42e-07,0.163059
6.43e-07,0.155151
6.44e-07,0.147535
6.45e-07,0.140211
6.46e-07,0.13317
6.47e-07,0.1264
6.48e-07,0.119892
6.49e-07,0.11364
6.5e-07,0.107633
6.51e-07,0.10187
6.52e-07,0.096347
6.53e-07,0.091063
6.54e-07,0.08601
6.55e-07,0.081187
6.56e-07,0.076583
6.57e-07,0.072198
6.58e-07,0.068024
6.59e-07,0.064052
6.6e-07,0.060281
6.61e-07,0.056697
6.62e-07,0.053292
6.63e-07,0.050059
6.64e-07,0.046998
6.65e-07,0.044096
6.66e-07,0.041345
6.67e-07,0.0387507
6.68e-07,0.0362978
6.69e-07,0.0339832
6.7e-07,0.0318004
6.71e-07,0.0297395
6.72e-07,0.0277918
6.73e-07,0.0259551
6.74e-07,0.0242263
6.75e-07,0.0226017
6.76e-07,0.0210779
6.77e-07,0.0196505
6.78e-07,0.0183153
6.79e-07,0.0170686
6.8e-07,0.0159051
6.81e-07,0.0148183
6.82e-07,0.0138008
6.83e-07,0.0128495
6.84e-07,0.0119607
6.85e-07,0.0111303
6.86e-07,0.0103555
6.87e-07,0.0096332
6.88e-07,0.0089599
6.89e-07,0.0083324
6.9e-07,0.0077488
6.91e-07,0.0072046
6.92e-07,0.0066975
6.93e-07,0.0062251
6.94e-07,0.005785
6.95e-07,0.0053751
6.96e-07,0.0049941
6.97e-07,0.0046392
6.98e-07,0.0043093
6.99e-07,0.0040028
7e-07,0.00371774
7.01e-07,0.00345262
7.02e-07,0.00320583
7.03e-07,0.00297623
7.04e-07,0.00276281
7.05e-07,0.00256456
7.06e-07,0.00238048
7.07e-07,0.00220971
7.08e-07,0.00205132
7.09e-07,0.00190449
7.1e-07,0.00176847
7.11e-07,0.00164236
7.12e-07,0.00152535
7.13e-07,0.00141672
7.14e-07,0.00131595
7.15e-07,0.00122239
7.16e-07,0.00113555
7.17e-07,0.00105494
7.18e-07,0.00098014
7.19e-07,0.00091066
7.2e-07,0.00084619
7.21e-07,0.00078629
7.22e-07,0.00073068
7.23e-07,0.00067899
7.24e-07,0.00063101
7.25e-07,0.00058644
7.26e-07,0.00054511
7.27e-07,0.00050672
7.28e-07,0.00047111
7.29e-07,0.00043805
7.3e-07,0.00040741
7.31e-07,0.000378962
7.32e-07,0.000352543
7.33e-07,0.000328001
7.34e-07,0.000305208
7.35e-07,0.000284041
7.36e-07,0.000264375
7.37e-07,0.000246109
7.38e-07,0.000229143
7.39e-07,0.000213376
7.4e-07,0.00019873
7.41e-07,0.000185115
7.42e-07,0.000172454
7.43e-07,0.000160678
7.44e-07,0.00014973
7.45e-07,0.00013955
7.46e-07,0.000130086
7.47e-07,0.00012129
7.48e-07,0.000113106
7.49e-07,0.000105501
7.5e-07,9.8428e-05
7.51e-07,9.1853e-05
7.52e-07,8.5738e-05
7.53e-07,8.0048e-05
7.54e-07,7.4751e-05
7.55e-07,6.9819e-05
7.56e-07,6.5222e-05
7.57e-07,6.0939e-05
7.58e-07,5.6942e-05
7.59e-07,5.3217e-05
7.6e-07,4.9737e-05
7.61e-07,4.6491e-05
7.62e-07,4.3464e-05
7.63e-07,4.0635e-05
7.64e-07,3.8e-05
7.65e-07,3.55405e-05
7.66e-07,3.32448e-05
7.67e-07,3.11006e-05
7.68e-07,2.9099e-05
7.69e-07,2.72307e-05
7.7e-07,2.5486e-05
7.71e-07,2.38561e-05
7.72e-07,2.23332e-05
7.73e-07,2.09104e-05
7.74e-07,1.95808e-05
7.75e-07,1.83384e-05
7.76e-07,1.71777e-05
7.77e-07,1.60934e-05
7.78e-07,1.508e-05
7.79e-07,1.41336e-05
7.8e-07,1.3249e-05
7.81e-07,1.24226e-05
7.82e-07,1.16499e-05
7.83e-07,1.09277e-05
7.84e-07,1.02519e-05
7.85e-07,9.6196e-06
7.86e-07,9.0281e-06
7.87e-07,8.474e-06
7.88e-07,7.9548e-06
7.89e-07,7.4686e-06
7.9e-07,7.0128e-06
7.91e-07,6.5858e-06
7.92e-07,6.1857e-06
7.93e-07,5.8107e-06
7.94e-07,5.459e-06
7.95e-07,5.1298e-06
7.96e-07,4.8206e-06
7.97e-07,4.5312e-06
7.98e-07,4.2591e-06
7.99e-07,4.0042e-06
8e-07,3.76473e-06
8.01e-07,3.53995e-06
8.02e-07,3.32914e-06
8.03e-07,3.13115e-06
8.04e-07,2.94529e-06
8.05e-07,2.77081e-06
8.06e-07,2.60705e-06
8.07e-07,2.45329e-06
8.08e-07,2.30894e-06
8.09e-07,2.17338e-06
8.1e-07,2.04613e-06
8.11e-07,1.92662e-06
8.12e-07,1.8144e-06
8.13e-07,1.70895e-06
8.14e-07,1.60988e-06
8.15e-07,1.51677e-06
8.16e-07,1.42921e-06
8.17e-07,1.34686e-06
8.18e-07,1.26945e-06
8.19e-07,1.19662e-06
8.2e-07,1.12809e-06
8.21e-07,1.06368e-06
8.22e-07,1.00313e-06
8.23e-07,9.4622e-07
8.24e-07,8.9263e-07
8.25e-07,8.4216e-07
8.26e-07,7.9464e-07
8.27e-07,7.4978e-07
8.28e-07,7.0744e-07
8.29e-07,6.6748e-07
8.3e-07,6.297e-07
