wavelength,red
4e-07,0.005621074406087
4.1e-07,0.00650335624511722
4.2e-07,0.0740791128914004
4.3e-07,0.0430229594629288
4.4e-07,0.0345095256224701
4.5e-07,0.0188915672343435
4.6e-07,0.007311076996802
4.7e-07,0.0454991512309602
4.8e-07,0.0567675292111168
4.9e-07,0.134195920659178
5e-07,0.164752689978376
5.1e-07,0.217126419786392
5.2e-07,0.306483438358244
5.3e-07,0.349845796148885
5.4e-07,0.443742581332593
5.5e-07,0.444888605281263
5.6e-07,0.478975756747026
5.7e-07,0.509502914810739
5.8e-07,0.592629093785305
5.9e-07,0.673833275606976
6e-07,0.714037714881065
6.1e-07,0.860007613114951
6.2e-07,0.898103028495652
6.3e-07,1.0
6.4e-07,0.994942133112452
6.5e-07,0.92085127736138
6.6e-07,0.181433116314253
6.7e-07,0.0063097879537275
6.8e-07,0.00528874383171553
