wavelength,blue
4e-07,0.162159424133079
4.1e-07,0.285498378046286
4.2e-07,0.396904310609021
4.3e-07,0.508310243171756
4.4e-07,0.622118472469488
4.5e-07,0.737421362457695
4.6e-07,0.94538036670138
4.7e-07,0.964414947702804
4.8e-07,1.0
4.9e-07,0.985980211884525
5e-07,0.98340266357529
5.1e-07,0.969692195670726
5.2e-07,0.942808174020798
5.3e-07,0.896642799180709
5.4e-07,0.884445902200419
5.5e-07,0.867918990715971
5.6e-07,0.833756795849084
5.7e-07,0.83204140240573
5.8e-07,0.800549563847782
5.9e-07,0.782895124746465
6e-07,0.739469530071918
6.1e-07,0.667186401749857
6.2e-07,0.620436278068167
6.3e-07,0.611160878769567
6.4e-07,0.551735561957106
6.5e-07,0.465388317445164
6.6e-07,0.0796190783672069
6.7e-07,0.000592444461072368
6.8e-07,0.00468563680483141
