wavelength,purplish-blue
3.8e-07,0.122
3.9e-07,0.164
4e-07,0.229
4.1e-07,0.286
4.2e-07,0.327
4.3e-07,0.361
4.4e-07,0.388
4.5e-07,0.4
4.6e-07,0.392
4.7e-07,0.362
4.8e-07,0.316
4.9e-07,0.26
5e-07,0.209
5.1e-07,0.168
5.2e-07,0.138
5.3e-07,0.117
5.4e-07,0.104
5.5e-07,0.096
5.6e-07,0.09
5.7e-07,0.086
5.8e-07,0.084
5.9e-07,0.084
6e-07,0.084
6.1e-07,0.084
6.2e-07,0.084
6.3e-07,0.085
6.4e-07,0.09
6.5e-07,0.098
6.6e-07,0.109
6.7e-07,0.123
6.8e-07,0.143
6.9e-07,0.169
7e-07,0.205
7.1e-07,0.244
7.2e-07,0.287
7.3e-07,0.332
