wavelength,TCS10
3.6e-07,0.042
3.65e-07,0.043
3.7e-07,0.045
3.75e-07,0.047
3.8e-07,0.05
3.85e-07,0.054
3.9e-07,0.059
3.95e-07,0.063
4e-07,0.066
4.05e-07,0.067
4.1e-07,0.068
4.15e-07,0.069
4.2e-07,0.069
4.25e-07,0.07
4.3e-07,0.072
4.35e-07,0.073
4.4e-07,0.076
4.45e-07,0.078
4.5e-07,0.083
4.55e-07,0.088
4.6e-07,0.095
4.65e-07,0.103
4.7e-07,0.113
4.75e-07,0.125
4.8e-07,0.142
4.85e-07,0.162
4.9e-07,0.189
4.95e-07,0.219
5e-07,0.262
5.05e-07,0.305
5.1e-07,0.365
5.15e-07,0.416
5.2e-07,0.465
5.25e-07,0.509
5.3e-07,0.546
5.35e-07,0.581
5.4e-07,0.61
5.45e-07,0.634
5.5e-07,0.653
5.55e-07,0.666
5.6e-07,0.678
5.65e-07,0.687
5.7e-07,0.693
5.75e-07,0.698
5.8e-07,0.701
5.85e-07,0.704
5.9e-07,0.705
5.95e-07,0.705
6e-07,0.706
6.05e-07,0.707
6.1e-07,0.707
6.15e-07,0.707
6.2e-07,0.708
6.25e-07,0.708
6.3e-07,0.71
6.35e-07,0.711
6.4e-07,0.712
6.45e-07,0.714
6.5e-07,0.716
6.55e-07,0.718
6.6e-07,0.72
6.65e-07,0.722
6.7e-07,0.725
6.75e-07,0.729
6.8e-07,0.731
6.85e-07,0.735
6.9e-07,0.739
6.95e-07,0.742
7e-07,0.746
7.05e-07,0.748
7.1e-07,0.749
7.15e-07,0.751
7.2e-07,0.753
7.25e-07,0.754
7.3e-07,0.755
7.35e-07,0.755
7.4e-07,0.755
7.45e-07,0.755
7.5e-07,0.756
7.55e-07,0.757
7.6e-07,0.758
7.65e-07,0.759
7.7e-07,0.759
7.75e-07,0.759
7.8e-07,0.759
7.85e-07,0.759
7.9e-07,0.759
7.95e-07,0.759
8e-07,0.759
8.05e-07,0.759
8.1e-07,0.758
8.15e-07,0.757
8.2e-07,0.757
8.25e-07,0.756
8.3e-07,0.756
