wavelength,TCS11
3.6e-07,0.074
3.65e-07,0.079
3.7e-07,0.086
3.75e-07,0.098
3.8e-07,0.111
3.85e-07,0.121
3.9e-07,0.127
3.95e-07,0.129
4e-07,0.127
4.05e-07,0.121
4.1e-07,0.116
4.15e-07,0.112
4.2e-07,0.108
4.25e-07,0.105
4.3e-07,0.104
4.35e-07,0.104
4.4e-07,0.105
4.45e-07,0.106
4.5e-07,0.11
4.55e-07,0.115
4.6e-07,0.123
4.65e-07,0.134
4.7e-07,0.148
4.75e-07,0.167
4.8e-07,0.192
4.85e-07,0.219
4.9e-07,0.252
4.95e-07,0.291
5e-07,0.325
5.05e-07,0.347
5.1e-07,0.356
5.15e-07,0.353
5.2e-07,0.346
5.25e-07,0.333
5.3e-07,0.314
5.35e-07,0.294
5.4e-07,0.271
5.45e-07,0.248
5.5e-07,0.227
5.55e-07,0.206
5.6e-07,0.188
5.65e-07,0.17
5.7e-07,0.153
5.75e-07,0.138
5.8e-07,0.125
5.85e-07,0.114
5.9e-07,0.106
5.95e-07,0.1
6e-07,0.096
6.05e-07,0.092
6.1e-07,0.09
6.15e-07,0.087
6.2e-07,0.085
6.25e-07,0.082
6.3e-07,0.08
6.35e-07,0.079
6.4e-07,0.078
6.45e-07,0.078
6.5e-07,0.078
6.55e-07,0.078
6.6e-07,0.081
6.65e-07,0.083
6.7e-07,0.088
6.75e-07,0.093
6.8e-07,0.102
6.85e-07,0.112
6.9e-07,0.125
6.95e-07,0.141
7e-07,0.161
7.05e-07,0.182
7.1e-07,0.203
7.15e-07,0.223
7.2e-07,0.242
7.25e-07,0.257
7.3e-07,0.27
7.35e-07,0.282
7.4e-07,0.292
7.45e-07,0.302
7.5e-07,0.31
7.55e-07,0.314
7.6e-07,0.317
7.65e-07,0.323
7.7e-07,0.33
7.75e-07,0.334
7.8e-07,0.338
7.85e-07,0.343
7.9e-07,0.348
7.95e-07,0.353
8e-07,0.359
8.05e-07,0.365
8.1e-07,0.372
8.15e-07,0.38
8.2e-07,0.388
8.25e-07,0.396
8.3e-07,0.403
