wavelength,purplish blue
3.8000000000000001e-07,0.122
3.9000000000000002e-07,0.16399999999999998
4.0000000000000003e-07,0.22900000000000004
4.1000000000000004e-07,0.28599999999999998
4.2e-07,0.32700000000000001
4.3000000000000001e-07,0.36099999999999999
4.4000000000000002e-07,0.38800000000000001
4.5000000000000003e-07,0.40000000000000002
4.6000000000000004e-07,0.39199999999999996
4.7000000000000005e-07,0.36199999999999999
4.8000000000000006e-07,0.316
4.9000000000000007e-07,0.26000000000000006
5.0000000000000008e-07,0.20899999999999999
5.0999999999999999e-07,0.16800000000000004
5.2e-07,0.13800000000000001
5.3000000000000001e-07,0.11700000000000001
5.4000000000000002e-07,0.10400000000000001
5.5000000000000003e-07,0.096000000000000016
5.6000000000000004e-07,0.089999999999999997
5.7000000000000005e-07,0.085999999999999993
5.8000000000000006e-07,0.084000000000000019
5.9000000000000007e-07,0.084000000000000019
6.0000000000000008e-07,0.084000000000000005
6.1000000000000009e-07,0.083999999999999991
6.1999999999999999e-07,0.083999999999999991
6.3e-07,0.085000000000000006
6.4000000000000001e-07,0.089999999999999997
6.5000000000000002e-07,0.098000000000000004
6.6000000000000003e-07,0.10900000000000001
6.7000000000000004e-07,0.12300000000000001
6.8000000000000005e-07,0.14299999999999999
6.9000000000000006e-07,0.16900000000000001
7.0000000000000007e-07,0.20499999999999999
7.1000000000000008e-07,0.24400000000000002
7.2000000000000009e-07,0.28699999999999998
7.3e-07,0.33200000000000002
