wavelength,dark skin
3.8000000000000001e-07,0.055
3.9000000000000002e-07,0.05800000000000001
4.0000000000000003e-07,0.061000000000000006
4.1000000000000004e-07,0.061999999999999993
4.2e-07,0.062000000000000006
4.3000000000000001e-07,0.062
4.4000000000000002e-07,0.062
4.5000000000000003e-07,0.061999999999999993
4.6000000000000004e-07,0.062000000000000013
4.7000000000000005e-07,0.061999999999999993
4.8000000000000006e-07,0.062
4.9000000000000007e-07,0.063
5.0000000000000008e-07,0.065000000000000002
5.0999999999999999e-07,0.070000000000000007
5.2e-07,0.075999999999999998
5.3000000000000001e-07,0.078999999999999987
5.4000000000000002e-07,0.081000000000000016
5.5000000000000003e-07,0.084000000000000005
5.6000000000000004e-07,0.090999999999999998
5.7000000000000005e-07,0.10299999999999999
5.8000000000000006e-07,0.11900000000000001
5.9000000000000007e-07,0.13400000000000004
6.0000000000000008e-07,0.14299999999999996
6.1000000000000009e-07,0.14699999999999999
6.1999999999999999e-07,0.151
6.3e-07,0.158
6.4000000000000001e-07,0.16800000000000004
6.5000000000000002e-07,0.17900000000000005
6.6000000000000003e-07,0.188
6.7000000000000004e-07,0.19000000000000003
6.8000000000000005e-07,0.186
6.9000000000000006e-07,0.18099999999999999
7.0000000000000007e-07,0.182
7.1000000000000008e-07,0.18700000000000003
7.2000000000000009e-07,0.19600000000000004
7.3e-07,0.20899999999999999
