wavelength,purple
3.8000000000000001e-07,0.091999999999999998
3.9000000000000002e-07,0.11600000000000001
4.0000000000000003e-07,0.14599999999999999
4.1000000000000004e-07,0.16900000000000001
4.2e-07,0.17799999999999999
4.3000000000000001e-07,0.17299999999999999
4.4000000000000002e-07,0.158
4.5000000000000003e-07,0.13899999999999998
4.6000000000000004e-07,0.11899999999999999
4.7000000000000005e-07,0.10100000000000001
4.8000000000000006e-07,0.087000000000000008
4.9000000000000007e-07,0.075000000000000011
5.0000000000000008e-07,0.066000000000000003
5.0999999999999999e-07,0.059999999999999991
5.2e-07,0.056000000000000001
5.3000000000000001e-07,0.052999999999999999
5.4000000000000002e-07,0.050999999999999997
5.5000000000000003e-07,0.051000000000000004
5.6000000000000004e-07,0.051999999999999998
5.7000000000000005e-07,0.051999999999999998
5.8000000000000006e-07,0.051000000000000004
5.9000000000000007e-07,0.052000000000000005
6.0000000000000008e-07,0.05800000000000001
6.1000000000000009e-07,0.072999999999999995
6.1999999999999999e-07,0.096000000000000002
6.3e-07,0.11899999999999999
6.4000000000000001e-07,0.14099999999999999
6.5000000000000002e-07,0.16599999999999998
6.6000000000000003e-07,0.19400000000000001
6.7000000000000004e-07,0.22700000000000004
6.8000000000000005e-07,0.26500000000000001
6.9000000000000006e-07,0.30900000000000005
7.0000000000000007e-07,0.35499999999999998
7.1000000000000008e-07,0.39600000000000002
7.2000000000000009e-07,0.43600000000000005
7.3e-07,0.47799999999999998
