wavelength,bluish green
3.8000000000000001e-07,0.13600000000000001
3.9000000000000002e-07,0.17899999999999996
4.0000000000000003e-07,0.247
4.1000000000000004e-07,0.29699999999999999
4.2e-07,0.32000000000000001
4.3000000000000001e-07,0.33700000000000002
4.4000000000000002e-07,0.35499999999999998
4.5000000000000003e-07,0.38099999999999995
4.6000000000000004e-07,0.41900000000000004
4.7000000000000005e-07,0.46600000000000003
4.8000000000000006e-07,0.51000000000000012
4.9000000000000007e-07,0.54600000000000015
5.0000000000000008e-07,0.56699999999999995
5.0999999999999999e-07,0.57399999999999995
5.2e-07,0.56899999999999995
5.3000000000000001e-07,0.55100000000000005
5.4000000000000002e-07,0.52400000000000002
5.5000000000000003e-07,0.48799999999999999
5.6000000000000004e-07,0.44499999999999995
5.7000000000000005e-07,0.39999999999999997
5.8000000000000006e-07,0.34999999999999998
5.9000000000000007e-07,0.29900000000000004
6.0000000000000008e-07,0.252
6.1000000000000009e-07,0.221
6.1999999999999999e-07,0.20399999999999999
6.3e-07,0.19600000000000001
6.4000000000000001e-07,0.191
6.5000000000000002e-07,0.188
6.6000000000000003e-07,0.191
6.7000000000000004e-07,0.19900000000000001
6.8000000000000005e-07,0.21200000000000002
6.9000000000000006e-07,0.223
7.0000000000000007e-07,0.23200000000000001
7.1000000000000008e-07,0.23300000000000004
7.2000000000000009e-07,0.22900000000000004
7.3e-07,0.22900000000000001
