wavelength,yellow green
3.8000000000000001e-07,0.060999999999999999
3.9000000000000002e-07,0.061000000000000006
4.0000000000000003e-07,0.061999999999999993
4.1000000000000004e-07,0.063
4.2e-07,0.064000000000000001
4.3000000000000001e-07,0.066000000000000003
4.4000000000000002e-07,0.069000000000000006
4.5000000000000003e-07,0.074999999999999983
4.6000000000000004e-07,0.08500000000000002
4.7000000000000005e-07,0.10500000000000001
4.8000000000000006e-07,0.13900000000000001
4.9000000000000007e-07,0.192
5.0000000000000008e-07,0.27100000000000002
5.0999999999999999e-07,0.376
5.2e-07,0.47599999999999992
5.3000000000000001e-07,0.53100000000000003
5.4000000000000002e-07,0.54900000000000015
5.5000000000000003e-07,0.54600000000000004
5.6000000000000004e-07,0.52800000000000002
5.7000000000000005e-07,0.504
5.8000000000000006e-07,0.47100000000000009
5.9000000000000007e-07,0.42800000000000005
6.0000000000000008e-07,0.38099999999999995
6.1000000000000009e-07,0.34699999999999992
6.1999999999999999e-07,0.32700000000000007
6.3e-07,0.318
6.4000000000000001e-07,0.31200000000000006
6.5000000000000002e-07,0.31
6.6000000000000003e-07,0.31400000000000006
6.7000000000000004e-07,0.32700000000000007
6.8000000000000005e-07,0.34499999999999997
6.9000000000000006e-07,0.36299999999999999
7.0000000000000007e-07,0.376
7.1000000000000008e-07,0.38100000000000006
7.2000000000000009e-07,0.37800000000000006
7.3e-07,0.379
