wavelength,green
3.8000000000000001e-07,0.051999999999999998
3.9000000000000002e-07,0.052999999999999999
4.0000000000000003e-07,0.054000000000000006
4.1000000000000004e-07,0.055000000000000007
4.2e-07,0.057000000000000009
4.3000000000000001e-07,0.058999999999999997
4.4000000000000002e-07,0.060999999999999999
4.5000000000000003e-07,0.065999999999999989
4.6000000000000004e-07,0.075000000000000011
4.7000000000000005e-07,0.092999999999999999
4.8000000000000006e-07,0.125
4.9000000000000007e-07,0.17799999999999999
5.0000000000000008e-07,0.246
5.0999999999999999e-07,0.30699999999999994
5.2e-07,0.33700000000000002
5.3000000000000001e-07,0.33400000000000002
5.4000000000000002e-07,0.31700000000000006
5.5000000000000003e-07,0.29299999999999998
5.6000000000000004e-07,0.26200000000000007
5.7000000000000005e-07,0.23000000000000004
5.8000000000000006e-07,0.19800000000000004
5.9000000000000007e-07,0.16500000000000004
6.0000000000000008e-07,0.13500000000000001
6.1000000000000009e-07,0.11499999999999999
6.1999999999999999e-07,0.10399999999999998
6.3e-07,0.09799999999999999
6.4000000000000001e-07,0.094
6.5000000000000002e-07,0.092000000000000012
6.6000000000000003e-07,0.093000000000000027
6.7000000000000004e-07,0.097000000000000017
6.8000000000000005e-07,0.10199999999999999
6.9000000000000006e-07,0.108
7.0000000000000007e-07,0.11299999999999999
7.1000000000000008e-07,0.115
7.2000000000000009e-07,0.11400000000000002
7.3e-07,0.114
