wavelength,foliage
3.8000000000000001e-07,0.050999999999999997
3.9000000000000002e-07,0.053999999999999999
4.0000000000000003e-07,0.056000000000000001
4.1000000000000004e-07,0.057000000000000002
4.2e-07,0.058000000000000003
4.3000000000000001e-07,0.059000000000000011
4.4000000000000002e-07,0.059999999999999998
4.5000000000000003e-07,0.060999999999999992
4.6000000000000004e-07,0.062000000000000006
4.7000000000000005e-07,0.063000000000000014
4.8000000000000006e-07,0.065000000000000002
4.9000000000000007e-07,0.067000000000000004
5.0000000000000008e-07,0.075000000000000011
5.0999999999999999e-07,0.10099999999999999
5.2e-07,0.14499999999999999
5.3000000000000001e-07,0.17799999999999999
5.4000000000000002e-07,0.184
5.5000000000000003e-07,0.17000000000000001
5.6000000000000004e-07,0.14900000000000002
5.7000000000000005e-07,0.13300000000000001
5.8000000000000006e-07,0.122
5.9000000000000007e-07,0.11500000000000002
6.0000000000000008e-07,0.10900000000000001
6.1000000000000009e-07,0.10499999999999998
6.1999999999999999e-07,0.104
6.3e-07,0.10599999999999998
6.4000000000000001e-07,0.109
6.5000000000000002e-07,0.11200000000000002
6.6000000000000003e-07,0.11400000000000002
6.7000000000000004e-07,0.11399999999999999
6.8000000000000005e-07,0.112
6.9000000000000006e-07,0.112
7.0000000000000007e-07,0.115
7.1000000000000008e-07,0.12
7.2000000000000009e-07,0.125
7.3e-07,0.13
