wavelength,cyan
3.8000000000000001e-07,0.108
3.9000000000000002e-07,0.14099999999999999
4.0000000000000003e-07,0.192
4.1000000000000004e-07,0.23599999999999993
4.2e-07,0.26100000000000001
4.3000000000000001e-07,0.28599999999999998
4.4000000000000002e-07,0.31700000000000006
4.5000000000000003e-07,0.35299999999999992
4.6000000000000004e-07,0.39000000000000007
4.7000000000000005e-07,0.42599999999999993
4.8000000000000006e-07,0.44600000000000006
4.9000000000000007e-07,0.44399999999999995
5.0000000000000008e-07,0.42299999999999993
5.0999999999999999e-07,0.38499999999999995
5.2e-07,0.33699999999999997
5.3000000000000001e-07,0.28299999999999997
5.4000000000000002e-07,0.23100000000000001
5.5000000000000003e-07,0.185
5.6000000000000004e-07,0.14600000000000002
5.7000000000000005e-07,0.11800000000000001
5.8000000000000006e-07,0.10100000000000001
5.9000000000000007e-07,0.089999999999999997
6.0000000000000008e-07,0.082000000000000003
6.1000000000000009e-07,0.075999999999999998
6.1999999999999999e-07,0.07400000000000001
6.3e-07,0.072999999999999995
6.4000000000000001e-07,0.072999999999999995
6.5000000000000002e-07,0.07400000000000001
6.6000000000000003e-07,0.076000000000000012
6.7000000000000004e-07,0.076999999999999999
6.8000000000000005e-07,0.076000000000000012
6.9000000000000006e-07,0.075000000000000011
7.0000000000000007e-07,0.072999999999999995
7.1000000000000008e-07,0.072000000000000008
7.2000000000000009e-07,0.07400000000000001
7.3e-07,0.079000000000000001
