wavelength,black 2 (1.5 D)
3.8000000000000001e-07,0.031
3.9000000000000002e-07,0.032000000000000001
4.0000000000000003e-07,0.032000000000000001
4.1000000000000004e-07,0.033000000000000002
4.2e-07,0.033000000000000002
4.3000000000000001e-07,0.033000000000000002
4.4000000000000002e-07,0.033000000000000002
4.5000000000000003e-07,0.032999999999999995
4.6000000000000004e-07,0.032000000000000001
4.7000000000000005e-07,0.032000000000000001
4.8000000000000006e-07,0.032000000000000001
4.9000000000000007e-07,0.032000000000000001
5.0000000000000008e-07,0.032000000000000001
5.0999999999999999e-07,0.032000000000000001
5.2e-07,0.032000000000000001
5.3000000000000001e-07,0.032000000000000001
5.4000000000000002e-07,0.032000000000000001
5.5000000000000003e-07,0.032000000000000001
5.6000000000000004e-07,0.032000000000000001
5.7000000000000005e-07,0.032000000000000008
5.8000000000000006e-07,0.032000000000000001
5.9000000000000007e-07,0.032000000000000008
6.0000000000000008e-07,0.032000000000000001
6.1000000000000009e-07,0.032000000000000001
6.1999999999999999e-07,0.032000000000000008
6.3e-07,0.032000000000000001
6.4000000000000001e-07,0.032000000000000008
6.5000000000000002e-07,0.032000000000000001
6.6000000000000003e-07,0.032000000000000001
6.7000000000000004e-07,0.032000000000000008
6.8000000000000005e-07,0.032000000000000001
6.9000000000000006e-07,0.032000000000000008
7.0000000000000007e-07,0.032000000000000001
7.1000000000000008e-07,0.032000000000000001
7.2000000000000009e-07,0.032000000000000001
7.3e-07,0.033000000000000002
