wavelength,g_bar
3.8000000000000001e-07,-1.0000000000000001e-05
3.8500000000000002e-07,-1.9999999999999998e-05
3.9000000000000002e-07,-3.9999999999999996e-05
3.9500000000000003e-07,-6.9999999999999994e-05
4.0000000000000003e-07,-0.00013999999999999996
4.0500000000000004e-07,-0.00021999999999999998
4.1000000000000004e-07,-0.00040999999999999994
4.1500000000000005e-07,-0.00069999999999999999
4.2e-07,-0.0011000000000000001
4.2500000000000001e-07,-0.0014300000000000001
4.3000000000000001e-07,-0.0011900000000000001
4.3500000000000002e-07,-0.00021000000000000004
4.4000000000000002e-07,0.00149
4.4500000000000003e-07,0.00379
4.5000000000000003e-07,0.0067799999999999996
4.5500000000000004e-07,0.010460000000000001
4.6000000000000004e-07,0.014850000000000002
4.6500000000000005e-07,0.019769999999999996
4.7000000000000005e-07,0.025379999999999996
4.75e-07,0.031829999999999997
4.8000000000000006e-07,0.039140000000000001
4.8500000000000002e-07,0.047130000000000005
4.9000000000000007e-07,0.056889999999999996
4.9500000000000003e-07,0.069480000000000014
5.0000000000000008e-07,0.085359999999999991
5.0500000000000004e-07,0.10593
5.0999999999999999e-07,0.12860000000000002
5.1500000000000005e-07,0.15262000000000001
5.2e-07,0.17468
5.2500000000000006e-07,0.19112999999999997
5.3000000000000001e-07,0.20316999999999999
5.3500000000000007e-07,0.21082999999999996
5.4000000000000002e-07,0.21465999999999996
5.4500000000000008e-07,0.21487000000000001
5.5000000000000003e-07,0.21178
5.5500000000000009e-07,0.20588000000000001
5.6000000000000004e-07,0.19701999999999997
5.6499999999999999e-07,0.18522000000000002
5.7000000000000005e-07,0.17087000000000002
5.75e-07,0.15429000000000001
5.8000000000000006e-07,0.13609999999999997
5.8500000000000001e-07,0.11686000000000001
5.9000000000000007e-07,0.097540000000000002
5.9500000000000002e-07,0.079089999999999994
6.0000000000000008e-07,0.062459999999999995
6.0500000000000003e-07,0.047760000000000004
6.1000000000000009e-07,0.035569999999999997
6.1500000000000004e-07,0.025829999999999999
6.1999999999999999e-07,0.018280000000000001
6.2500000000000005e-07,0.012529999999999999
6.3e-07,0.0083300000000000006
6.3500000000000006e-07,0.0053699999999999998
6.4000000000000001e-07,0.0033400000000000005
6.4500000000000007e-07,0.0019899999999999996
6.5000000000000002e-07,0.00116
6.5500000000000008e-07,0.00066
6.6000000000000003e-07,0.00037000000000000005
6.6500000000000009e-07,0.00021000000000000001
6.7000000000000004e-07,0.00011
6.75e-07,6.0000000000000002e-05
6.8000000000000005e-07,3.0000000000000004e-05
6.8500000000000001e-07,9.9999999999999991e-06
6.9000000000000006e-07,-5.2939559203393771e-23
6.9500000000000002e-07,-3.6395946952333218e-23
7.0000000000000007e-07,-4.1359030627651384e-24
7.0500000000000003e-07,-4.5494933690416522e-24
7.1000000000000008e-07,4.1359030627651384e-25
7.1500000000000004e-07,1.2924697071141057e-25
7.2000000000000009e-07,6.4623485355705287e-27
7.2500000000000005e-07,-1.454028420503369e-26
7.3e-07,-6.0584517520973707e-27
7.3500000000000006e-07,1.2116903504194741e-27
7.4000000000000001e-07,-1.0097419586828951e-28
7.4500000000000007e-07,1.2621774483536189e-28
7.5000000000000002e-07,1.5777218104420236e-29
7.5500000000000008e-07,-3.1554436208840472e-30
7.6000000000000003e-07,7.8886090522101181e-31
7.6500000000000009e-07,0.0
7.7000000000000004e-07,-1.4791141972893971e-31
7.750000000000001e-07,0.0
7.8000000000000005e-07,0.0
