wavelength,s_bar
3.9e-07,0.00954729
3.91e-07,0.0114794
3.92e-07,0.0137986
3.93e-07,0.0165746
3.94e-07,0.0198869
3.95e-07,0.023825
3.96e-07,0.0284877
3.97e-07,0.0339832
3.98e-07,0.0404274
3.99e-07,0.0479417
4e-07,0.0566498
4.01e-07,0.0666757
4.02e-07,0.0781479
4.03e-07,0.0911925
4.04e-07,0.105926
4.05e-07,0.122451
4.06e-07,0.140844
4.07e-07,0.16114
4.08e-07,0.183325
4.09e-07,0.207327
4.1e-07,0.233008
4.11e-07,0.260183
4.12e-07,0.288723
4.13e-07,0.318512
4.14e-07,0.349431
4.15e-07,0.381363
4.16e-07,0.414141
4.17e-07,0.44735
4.18e-07,0.480439
4.19e-07,0.512767
4.2e-07,0.543618
4.21e-07,0.572399
4.22e-07,0.599284
4.23e-07,0.624786
4.24e-07,0.649576
4.25e-07,0.674474
4.26e-07,0.700186
4.27e-07,0.72646
4.28e-07,0.752726
4.29e-07,0.778333
4.3e-07,0.802555
4.31e-07,0.824818
4.32e-07,0.845422
4.33e-07,0.864961
4.34e-07,0.8841
4.35e-07,0.903573
4.36e-07,0.923844
4.37e-07,0.944055
4.38e-07,0.96292
4.39e-07,0.979057
4.4e-07,0.99102
4.41e-07,0.997765
4.42e-07,0.999982
4.43e-07,0.998861
4.44e-07,0.995628
4.45e-07,0.991515
4.46e-07,0.987377
4.47e-07,0.982619
4.48e-07,0.976301
4.49e-07,0.967513
4.5e-07,0.955393
4.51e-07,0.939499
4.52e-07,0.920807
4.53e-07,0.900592
4.54e-07,0.88004
4.55e-07,0.86024
4.56e-07,0.842031
4.57e-07,0.825572
4.58e-07,0.81086
4.59e-07,0.797902
4.6e-07,0.786704
4.61e-07,0.777119
4.62e-07,0.768365
4.63e-07,0.759538
4.64e-07,0.749777
4.65e-07,0.738268
4.66e-07,0.724389
4.67e-07,0.708113
4.68e-07,0.689572
4.69e-07,0.668927
4.7e-07,0.646359
4.71e-07,0.622112
4.72e-07,0.596591
4.73e-07,0.570216
4.74e-07,0.543373
4.75e-07,0.516411
4.76e-07,0.489647
4.77e-07,0.463406
4.78e-07,0.437965
4.79e-07,0.413549
4.8e-07,0.390333
4.81e-07,0.368394
4.82e-07,0.347582
4.83e-07,0.327724
4.84e-07,0.308676
4.85e-07,0.290322
4.86e-07,0.272626
4.87e-07,0.255772
4.88e-07,0.239945
4.89e-07,0.22528
4.9e-07,0.211867
4.91e-07,0.199719
4.92e-07,0.188674
4.93e-07,0.178557
4.94e-07,0.169217
4.95e-07,0.160526
4.96e-07,0.152368
4.97e-07,0.14462
4.98e-07,0.137173
4.99e-07,0.129937
5e-07,0.122839
5.01e-07,0.115834
5.02e-07,0.108922
5.03e-07,0.102118
5.04e-07,0.0954374
5.05e-07,0.0888965
5.06e-07,0.0825343
5.07e-07,0.0764613
5.08e-07,0.0707769
5.09e-07,0.0655491
5.1e-07,0.060821
5.11e-07,0.0565919
5.12e-07,0.0527659
5.13e-07,0.049244
5.14e-07,0.045947
5.15e-07,0.0428123
5.16e-07,0.0398014
5.17e-07,0.0369227
5.18e-07,0.0341909
5.19e-07,0.0316158
5.2e-07,0.0292033
5.21e-07,0.0269536
5.22e-07,0.0248575
5.23e-07,0.0229047
5.24e-07,0.0210855
5.25e-07,0.0193912
5.26e-07,0.0178145
5.27e-07,0.0163514
5.28e-07,0.014998
5.29e-07,0.0137497
5.3e-07,0.0126013
5.31e-07,0.0115466
5.32e-07,0.0105766
5.33e-07,0.00968268
5.34e-07,0.00885746
5.35e-07,0.00809453
5.36e-07,0.0073889
5.37e-07,0.00673799
5.38e-07,0.00613947
5.39e-07,0.00559073
5.4e-07,0.005089
5.41e-07,0.0046312
5.42e-07,0.00421366
5.43e-07,0.00383286
5.44e-07,0.00348559
5.45e-07,0.00316893
5.46e-07,0.00288021
5.47e-07,0.00261698
5.48e-07,0.00237701
5.49e-07,0.00215829
5.5e-07,0.00195896
5.51e-07,0.00177737
5.52e-07,0.00161218
5.53e-07,0.00146215
5.54e-07,0.00132606
5.55e-07,0.00120277
5.56e-07,0.00109118
5.57e-07,0.000990135
5.58e-07,0.000898564
5.59e-07,0.000815524
5.6e-07,0.000740174
5.61e-07,0.000671772
5.62e-07,0.000609693
5.63e-07,0.000553372
5.64e-07,0.000502292
5.65e-07,0.000455979
5.66e-07,0.000413997
5.67e-07,0.00037594
5.68e-07,0.000341439
5.69e-07,0.00031016
5.7e-07,0.0002818
5.71e-07,0.000256084
5.72e-07,0.000232764
5.73e-07,0.000211616
5.74e-07,0.000192436
5.75e-07,0.000175039
5.76e-07,0.000159257
5.77e-07,0.00014494
5.78e-07,0.000131948
5.79e-07,0.000120157
5.8e-07,0.000109454
5.81e-07,9.97367e-05
5.82e-07,9.09125e-05
5.83e-07,8.28976e-05
5.84e-07,7.5616e-05
5.85e-07,6.89991e-05
5.86e-07,6.29846e-05
5.87e-07,5.75163e-05
5.88e-07,5.25432e-05
5.89e-07,4.80192e-05
5.9e-07,4.39024e-05
5.91e-07,4.01551e-05
5.92e-07,3.67431e-05
5.93e-07,3.36353e-05
5.94e-07,3.08037e-05
5.95e-07,2.82228e-05
5.96e-07,2.58697e-05
5.97e-07,2.37235e-05
5.98e-07,2.17653e-05
5.99e-07,1.99779e-05
6e-07,1.83459e-05
6.01e-07,1.68551e-05
6.02e-07,1.54929e-05
6.03e-07,1.42476e-05
6.04e-07,1.31087e-05
6.05e-07,1.20667e-05
6.06e-07,1.11131e-05
6.07e-07,1.02399e-05
6.08e-07,9.43999e-06
6.09e-07,8.70695e-06
6.1e-07,8.03488e-06
6.11e-07,7.41844e-06
6.12e-07,6.85279e-06
6.13e-07,6.33352e-06
6.14e-07,5.85662e-06
6.15e-07,5.41843e-06
6.16e-07,-1.19114008208e-22
6.17e-07,-3.30872245021e-24
6.18e-07,-1.15805285757e-23
6.19e-07,-2.89513214394e-24
6.2e-07,0.0
6.21e-07,2.32644547281e-25
6.22e-07,6.46234853557e-27
6.23e-07,-4.84676140168e-27
6.24e-07,-7.27014210252e-27
6.25e-07,7.06819371078e-28
6.26e-07,2.77679038638e-28
6.27e-07,-3.78653234506e-29
6.28e-07,-1.57772181044e-30
6.29e-07,-1.18329135783e-30
6.3e-07,1.97215226305e-31
6.31e-07,2.95822839458e-31
6.32e-07,-4.93038065763e-32
6.33e-07,1.54074395551e-32
6.34e-07,-5.39260384428e-33
6.35e-07,-4.23704587765e-33
6.36e-07,-5.29630734706e-34
6.37e-07,8.42594350669e-35
6.38e-07,-5.41667796859e-35
6.39e-07,7.52316384526e-37
6.4e-07,1.69271186518e-36
6.41e-07,1.88079096132e-37
6.42e-07,-9.40395480658e-38
6.43e-07,-1.64569209115e-37
6.44e-07,-1.91017832009e-38
6.45e-07,2.93873587706e-39
6.46e-07,-2.66322938858e-39
6.47e-07,-2.29588740395e-41
6.48e-07,2.86985925494e-41
6.49e-07,2.29588740395e-41
6.5e-07,3.94605647554e-42
6.51e-07,-1.6142958309e-42
6.52e-07,-2.6904930515e-43
6.53e-07,0.0
6.54e-07,-8.40779078595e-45
6.55e-07,-3.50324616081e-45
6.56e-07,-4.20389539297e-45
6.57e-07,-3.94115193091e-46
6.58e-07,-1.53267019536e-46
6.59e-07,8.2107331894e-48
6.6e-07,1.36845553157e-48
6.61e-07,3.42113882892e-48
6.62e-07,3.42113882892e-49
6.63e-07,6.41463530422e-50
6.64e-07,-3.20731765211e-50
6.65e-07,-4.00914706514e-51
6.66e-07,3.34095588762e-52
6.67e-07,-1.67047794381e-51
6.68e-07,-4.80262408845e-52
6.69e-07,9.39643843392e-53
6.7e-07,-2.6101217872e-54
6.71e-07,-4.5677131276e-54
6.72e-07,-1.631326117e-54
6.73e-07,2.4469891755e-55
6.74e-07,-1.01957882312e-56
6.75e-07,-1.52936823469e-56
6.76e-07,-1.14702617602e-56
6.77e-07,-1.59309191113e-57
6.78e-07,1.55326461335e-57
6.79e-07,-1.99136488892e-59
6.8e-07,-1.49352366669e-59
6.81e-07,1.24460305557e-60
6.82e-07,-3.11150763893e-60
6.83e-07,7.77876909733e-61
6.84e-07,-2.13916150176e-61
6.85e-07,-8.26494216591e-62
6.86e-07,-2.18777880862e-62
6.87e-07,-5.16558885369e-63
6.88e-07,-1.44332629736e-63
6.89e-07,1.70920219424e-64
6.9e-07,-6.64689742203e-65
6.91e-07,4.74778387288e-66
6.92e-07,4.74778387288e-66
6.93e-07,-5.9347298411e-67
6.94e-07,-7.78933291644e-67
6.95e-07,-1.29822215274e-67
6.96e-07,-4.63650768836e-69
6.97e-07,4.63650768836e-69
6.98e-07,2.31825384418e-69
6.99e-07,-1.81113581577e-70
7e-07,-7.24454326306e-71
7.01e-07,4.52783953941e-72
7.02e-07,9.05567907883e-72
7.03e-07,4.2448495682e-72
7.04e-07,-5.65979942427e-73
7.05e-07,-3.00676844414e-73
7.06e-07,-4.42171830021e-75
7.07e-07,1.10542957505e-74
7.08e-07,1.65814436258e-75
7.09e-07,8.29072181289e-76
7.1e-07,6.90893484408e-77
7.11e-07,5.18170113306e-77
7.12e-07,2.15904213877e-78
7.13e-07,7.55664748571e-78
7.14e-07,2.42892240612e-78
7.15e-07,-2.0241020051e-79
7.16e-07,-1.26506375319e-79
7.17e-07,-4.21687917729e-81
7.18e-07,2.63554948581e-81
7.19e-07,1.3177747429e-81
7.2e-07,3.29443685726e-83
7.21e-07,1.64721842863e-82
7.22e-07,4.52985067873e-83
7.23e-07,1.44131612505e-83
7.24e-07,1.02951151789e-84
7.25e-07,1.93033409605e-85
7.26e-07,8.04305873354e-86
7.27e-07,8.04305873354e-86
7.28e-07,-2.41291762006e-86
7.29e-07,-8.04305873354e-87
7.3e-07,1.25672792712e-88
7.31e-07,3.14181981779e-89
7.32e-07,7.85454954448e-89
7.33e-07,-2.74909234057e-89
7.34e-07,0.0
7.35e-07,-1.22727336632e-91
7.36e-07,9.51136858901e-91
7.37e-07,-2.30113756186e-92
7.38e-07,-4.41051366023e-92
7.39e-07,-8.62926585697e-93
7.4e-07,5.99254573401e-94
7.41e-07,6.59180030741e-94
7.42e-07,1.4981364335e-94
7.43e-07,1.4981364335e-95
7.44e-07,-1.87267054188e-96
7.45e-07,3.27717344828e-96
7.46e-07,1.75562863301e-97
7.47e-07,-2.04823340518e-97
7.48e-07,-1.31672147476e-97
7.49e-07,-1.82877982605e-99
7.5e-07,-3.20036469559e-99
7.51e-07,0.0
7.52e-07,-5.14344326077e-100
7.53e-07,-1.4287342391e-100
7.54e-07,-3.92901915753e-101
7.55e-07,0.0
7.56e-07,-7.81339037009e-103
7.57e-07,-5.02289380935e-103
7.58e-07,-8.37148968224e-104
7.59e-07,-1.74406035047e-105
7.6e-07,-3.05210561332e-105
7.61e-07,0.0
7.62e-07,-4.90516973569e-106
7.63e-07,2.72509429761e-107
7.64e-07,1.0219103616e-107
7.65e-07,1.8735023296e-107
7.66e-07,4.89665381601e-108
7.67e-07,1.117714458e-108
7.68e-07,-1.33061245e-109
7.69e-07,2.3285717875e-110
7.7e-07,0.0
7.71e-07,-8.31632781252e-112
7.72e-07,-2.3909442461e-111
7.73e-07,-2.59885244141e-112
7.74e-07,0.0
7.75e-07,3.73585038453e-113
7.76e-07,-2.43642416382e-114
7.77e-07,-6.09106040956e-115
7.78e-07,-3.80691275597e-115
7.79e-07,9.51728188993e-116
7.8e-07,1.11034955383e-116
7.81e-07,-1.58621364832e-117
7.82e-07,-1.9827670604e-117
7.83e-07,4.95691765101e-119
7.84e-07,-6.19614706376e-119
7.85e-07,1.85884411913e-119
7.86e-07,-6.19614706376e-120
7.87e-07,4.06622151059e-120
7.88e-07,5.32481388292e-121
7.89e-07,1.57324046541e-121
7.9e-07,6.05092486695e-123
7.91e-07,-2.72291619013e-122
7.92e-07,-3.40364523766e-123
7.93e-07,-9.45457010461e-125
7.94e-07,-2.36364252615e-125
7.95e-07,1.77273189461e-125
7.96e-07,-2.51137018404e-125
7.97e-07,-2.95455315769e-126
7.98e-07,1.84659572356e-127
7.99e-07,-2.30824465445e-128
8e-07,1.15412232722e-128
8.01e-07,-1.73118349083e-128
8.02e-07,-3.60663227257e-129
8.03e-07,1.62298452266e-129
8.04e-07,2.25414517036e-130
8.05e-07,7.88950809625e-131
8.06e-07,1.69060887777e-131
8.07e-07,4.93094256016e-132
8.08e-07,3.87431201155e-132
8.09e-07,4.40262728586e-133
8.1e-07,-5.50328410732e-134
8.11e-07,-2.75164205366e-134
8.12e-07,-9.63074718781e-135
8.13e-07,4.8153735939e-135
8.14e-07,1.37582102683e-135
8.15e-07,-4.72938477973e-136
8.16e-07,4.83687079745e-137
8.17e-07,1.88100531012e-137
8.18e-07,-4.03072566454e-138
8.19e-07,-3.35893805378e-139
8.2e-07,-8.39734513446e-140
8.21e-07,-5.24834070904e-140
8.22e-07,3.41142146087e-140
8.23e-07,-6.5604258863e-142
8.24e-07,0.0
8.25e-07,2.46015970736e-142
8.26e-07,2.05013308947e-142
8.27e-07,-1.5375998171e-143
8.28e-07,1.79386645328e-143
8.29e-07,-1.02506654473e-143
8.3e-07,0.0
