wavelength,VS2
3.8e-07,0.1053
3.85e-07,0.1323
3.9e-07,0.1662
3.95e-07,0.2113
4e-07,0.2516
4.05e-07,0.2806
4.1e-07,0.2971
4.15e-07,0.3042
4.2e-07,0.3125
4.25e-07,0.3183
4.3e-07,0.3196
4.35e-07,0.3261
4.4e-07,0.3253
4.45e-07,0.3193
4.5e-07,0.3071
4.55e-07,0.2961
4.6e-07,0.2873
4.65e-07,0.2729
4.7e-07,0.2595
4.75e-07,0.2395
4.8e-07,0.2194
4.85e-07,0.1949
4.9e-07,0.1732
4.95e-07,0.156
5e-07,0.1436
5.05e-07,0.1305
5.1e-07,0.1174
5.15e-07,0.1075
5.2e-07,0.0991
5.25e-07,0.0925
5.3e-07,0.0916
5.35e-07,0.0896
5.4e-07,0.0897
5.45e-07,0.0893
5.5e-07,0.0891
5.55e-07,0.0868
5.6e-07,0.082
5.65e-07,0.0829
5.7e-07,0.0854
5.75e-07,0.0871
5.8e-07,0.0922
5.85e-07,0.0978
5.9e-07,0.1037
5.95e-07,0.1079
6e-07,0.1092
6.05e-07,0.1088
6.1e-07,0.1078
6.15e-07,0.1026
6.2e-07,0.0991
6.25e-07,0.0995
6.3e-07,0.1043
6.35e-07,0.1101
6.4e-07,0.1187
6.45e-07,0.1311
6.5e-07,0.143
6.55e-07,0.1583
6.6e-07,0.1704
6.65e-07,0.1846
6.7e-07,0.1906
6.75e-07,0.1983
6.8e-07,0.1981
6.85e-07,0.1963
6.9e-07,0.2003
6.95e-07,0.2034
7e-07,0.2061
7.05e-07,0.212
7.1e-07,0.2207
7.15e-07,0.2257
7.2e-07,0.2335
7.25e-07,0.2441
7.3e-07,0.255
7.35e-07,0.2684
7.4e-07,0.2862
7.45e-07,0.3086
7.5e-07,0.3262
7.55e-07,0.3483
7.6e-07,0.3665
7.65e-07,0.3814
7.7e-07,0.3974
7.75e-07,0.4091
7.8e-07,0.4206
7.85e-07,0.423
7.9e-07,0.4397
7.95e-07,0.4456
8e-07,0.4537
8.05e-07,0.4537
8.1e-07,0.4537
8.15e-07,0.4537
8.2e-07,0.4537
8.25e-07,0.4537
8.3e-07,0.4537
