wavelength,VS4
3.8e-07,0.079
3.85e-07,0.0984
3.9e-07,0.1242
3.95e-07,0.1595
4e-07,0.1937
4.05e-07,0.2215
4.1e-07,0.2419
4.15e-07,0.2488
4.2e-07,0.2603
4.25e-07,0.2776
4.3e-07,0.2868
4.35e-07,0.3107
4.4e-07,0.3309
4.45e-07,0.3515
4.5e-07,0.3676
4.55e-07,0.3819
4.6e-07,0.4026
4.65e-07,0.4189
4.7e-07,0.4317
4.75e-07,0.4363
4.8e-07,0.4356
4.85e-07,0.4297
4.9e-07,0.4199
4.95e-07,0.4058
5e-07,0.3882
5.05e-07,0.366
5.1e-07,0.3433
5.15e-07,0.3148
5.2e-07,0.289
5.25e-07,0.2583
5.3e-07,0.234
5.35e-07,0.2076
5.4e-07,0.1839
5.45e-07,0.1613
5.5e-07,0.1434
5.55e-07,0.1243
5.6e-07,0.1044
5.65e-07,0.0978
5.7e-07,0.091
5.75e-07,0.0832
5.8e-07,0.0771
5.85e-07,0.0747
5.9e-07,0.0726
5.95e-07,0.0682
6e-07,0.0671
6.05e-07,0.066
6.1e-07,0.0661
6.15e-07,0.066
6.2e-07,0.0653
6.25e-07,0.0644
6.3e-07,0.0653
6.35e-07,0.0669
6.4e-07,0.066
6.45e-07,0.0677
6.5e-07,0.0668
6.55e-07,0.0693
6.6e-07,0.0689
6.65e-07,0.0676
6.7e-07,0.0694
6.75e-07,0.0687
6.8e-07,0.0698
6.85e-07,0.0679
6.9e-07,0.0694
6.95e-07,0.0675
7e-07,0.0676
7.05e-07,0.0662
7.1e-07,0.0681
7.15e-07,0.0706
7.2e-07,0.0728
7.25e-07,0.0766
7.3e-07,0.0814
7.35e-07,0.0901
7.4e-07,0.1042
7.45e-07,0.1228
7.5e-07,0.1482
7.55e-07,0.1793
7.6e-07,0.2129
7.65e-07,0.2445
7.7e-07,0.2674
7.75e-07,0.2838
7.8e-07,0.2979
7.85e-07,0.3067
7.9e-07,0.3226
7.95e-07,0.3396
8e-07,0.3512
8.05e-07,0.3512
8.1e-07,0.3512
8.15e-07,0.3512
8.2e-07,0.3512
8.25e-07,0.3512
8.3e-07,0.3512
