wavelength,b_bar
3.9000000000000002e-07,0.0061999999999999998
3.9500000000000003e-07,0.0161
4.0000000000000003e-07,0.040000000000000008
4.0500000000000004e-07,0.090599999999999986
4.1000000000000004e-07,0.18019999999999997
4.1500000000000005e-07,0.30880000000000002
4.2e-07,0.46700000000000003
4.2500000000000001e-07,0.61519999999999997
4.3000000000000001e-07,0.76380000000000003
4.3500000000000002e-07,0.87779999999999991
4.4000000000000002e-07,0.97550000000000003
4.4500000000000003e-07,1.0019
4.5000000000000003e-07,0.99960000000000004
4.5500000000000004e-07,0.91390000000000005
4.6000000000000004e-07,0.82969999999999999
4.6500000000000005e-07,0.74170000000000003
4.7000000000000005e-07,0.61339999999999983
4.75e-07,0.47199999999999992
4.8000000000000006e-07,0.34949999999999998
4.8500000000000002e-07,0.25640000000000002
4.9000000000000007e-07,0.18190000000000001
4.9500000000000003e-07,0.13070000000000004
5.0000000000000008e-07,0.090999999999999998
5.0500000000000004e-07,0.057999999999999996
5.0999999999999999e-07,0.035700000000000003
5.1500000000000005e-07,0.020000000000000004
5.2e-07,0.0094999999999999998
5.2500000000000006e-07,0.00069999999999999988
5.3000000000000001e-07,-0.0043
5.3500000000000007e-07,-0.0063999999999999994
5.4000000000000002e-07,-0.0082000000000000007
5.4500000000000008e-07,-0.0094000000000000004
5.5000000000000003e-07,-0.0097000000000000003
5.5500000000000009e-07,-0.0097000000000000003
5.6000000000000004e-07,-0.0092999999999999992
5.6499999999999999e-07,-0.0086999999999999994
5.7000000000000005e-07,-0.0080000000000000002
5.75e-07,-0.0073000000000000001
5.8000000000000006e-07,-0.0063
5.8500000000000001e-07,-0.0053699999999999998
5.9000000000000007e-07,-0.00445
5.9500000000000002e-07,-0.0035700000000000003
6.0000000000000008e-07,-0.0027699999999999995
6.0500000000000003e-07,-0.0020799999999999998
6.1000000000000009e-07,-0.0015
6.1500000000000004e-07,-0.0010300000000000001
6.1999999999999999e-07,-0.00067999999999999994
6.2500000000000005e-07,-0.00044200000000000006
6.3e-07,-0.000272
6.3500000000000006e-07,-0.00014100000000000001
6.4000000000000001e-07,-5.4900000000000006e-05
6.4500000000000007e-07,-2.1999999999999976e-06
6.5000000000000002e-07,2.37e-05
6.5500000000000008e-07,2.8600000000000001e-05
6.6000000000000003e-07,2.6100000000000001e-05
6.6500000000000009e-07,2.2499999999999998e-05
6.7000000000000004e-07,1.8200000000000002e-05
6.75e-07,1.3900000000000002e-05
6.8000000000000005e-07,1.0300000000000001e-05
6.8500000000000001e-07,7.3799999999999996e-06
6.9000000000000006e-07,5.2199999999999991e-06
6.9500000000000002e-07,3.6700000000000004e-06
7.0000000000000007e-07,2.5600000000000001e-06
7.0500000000000003e-07,1.7600000000000001e-06
7.1000000000000008e-07,1.1999999999999999e-06
7.1500000000000004e-07,8.1700000000000008e-07
7.2000000000000009e-07,5.5499999999999998e-07
7.2500000000000005e-07,3.7500000000000001e-07
7.3e-07,2.5400000000000002e-07
7.3500000000000006e-07,1.7100000000000004e-07
7.4000000000000001e-07,1.1599999999999999e-07
7.4500000000000007e-07,7.8499999999999995e-08
7.5000000000000002e-07,5.3100000000000006e-08
7.5500000000000008e-07,3.6000000000000005e-08
7.6000000000000003e-07,2.44e-08
7.6500000000000009e-07,1.6499999999999996e-08
7.7000000000000004e-07,1.1200000000000001e-08
7.750000000000001e-07,7.5300000000000003e-09
7.8000000000000005e-07,5.0700000000000001e-09
7.85e-07,3.3999999999999998e-09
7.9000000000000006e-07,2.2699999999999994e-09
7.9500000000000001e-07,1.4999999999999998e-09
8.0000000000000007e-07,9.859999999999999e-10
8.0500000000000002e-07,6.3899999999999986e-10
8.1000000000000008e-07,4.0699999999999999e-10
8.1500000000000003e-07,2.5300000000000006e-10
8.2000000000000009e-07,1.5199999999999999e-10
8.2500000000000004e-07,8.6399999999999994e-11
8.300000000000001e-07,4.42e-11
