wavelength,r_bar
3.9000000000000002e-07,0.0015
3.9500000000000003e-07,0.0037999999999999996
4.0000000000000003e-07,0.0089000000000000017
4.0500000000000004e-07,0.018800000000000001
4.1000000000000004e-07,0.035000000000000003
4.1500000000000005e-07,0.053100000000000001
4.2e-07,0.070199999999999999
4.2500000000000001e-07,0.076300000000000007
4.3000000000000001e-07,0.074500000000000011
4.3500000000000002e-07,0.056099999999999997
4.4000000000000002e-07,0.032300000000000009
4.4500000000000003e-07,-0.0043999999999999994
4.5000000000000003e-07,-0.047799999999999995
4.5500000000000004e-07,-0.097000000000000003
4.6000000000000004e-07,-0.15859999999999999
4.6500000000000005e-07,-0.2235
4.7000000000000005e-07,-0.28479999999999994
4.75e-07,-0.33459999999999995
4.8000000000000006e-07,-0.37759999999999994
4.8500000000000002e-07,-0.41360000000000002
4.9000000000000007e-07,-0.43169999999999997
4.9500000000000003e-07,-0.44520000000000004
5.0000000000000008e-07,-0.435
5.0500000000000004e-07,-0.41399999999999992
5.0999999999999999e-07,-0.36729999999999996
5.1500000000000005e-07,-0.28450000000000003
5.2e-07,-0.18550000000000003
5.2500000000000006e-07,-0.043499999999999997
5.3000000000000001e-07,0.127
5.3500000000000007e-07,0.31289999999999996
5.4000000000000002e-07,0.53620000000000001
5.4500000000000008e-07,0.77219999999999989
5.5000000000000003e-07,1.0059
5.5500000000000009e-07,1.2709999999999997
5.6000000000000004e-07,1.5573999999999999
5.6499999999999999e-07,1.8465
5.7000000000000005e-07,2.1511
5.75e-07,2.4249999999999998
5.8000000000000006e-07,2.6573999999999995
5.8500000000000001e-07,2.9151000000000002
5.9000000000000007e-07,3.0778999999999996
5.9500000000000002e-07,3.1613000000000007
6.0000000000000008e-07,3.1673
6.0500000000000003e-07,3.1048
6.1000000000000009e-07,2.9461999999999997
6.1500000000000004e-07,2.7193999999999994
6.1999999999999999e-07,2.4526000000000003
6.2500000000000005e-07,2.1700000000000004
6.3e-07,1.8358000000000001
6.3500000000000006e-07,1.5179
6.4000000000000001e-07,1.2427999999999999
6.4500000000000007e-07,1.0069999999999999
6.5000000000000002e-07,0.78269999999999995
6.5500000000000008e-07,0.59339999999999993
6.6000000000000003e-07,0.44419999999999993
6.6500000000000009e-07,0.32829999999999993
6.7000000000000004e-07,0.23939999999999997
6.75e-07,0.17219999999999996
6.8000000000000005e-07,0.12210000000000001
6.8500000000000001e-07,0.085299999999999987
6.9000000000000006e-07,0.058599999999999999
6.9500000000000002e-07,0.040800000000000003
7.0000000000000007e-07,0.028400000000000002
7.0500000000000003e-07,0.019700000000000002
7.1000000000000008e-07,0.013499999999999998
7.1500000000000004e-07,0.0092400000000000017
7.2000000000000009e-07,0.0063800000000000003
7.2500000000000005e-07,0.0044099999999999999
7.3e-07,0.0030699999999999998
7.3500000000000006e-07,0.00214
7.4000000000000001e-07,0.00149
7.4500000000000007e-07,0.0010499999999999997
7.5000000000000002e-07,0.00073900000000000007
7.5500000000000008e-07,0.00052300000000000003
7.6000000000000003e-07,0.00037199999999999999
7.6500000000000009e-07,0.00026499999999999999
7.7000000000000004e-07,0.00019000000000000001
7.750000000000001e-07,0.000136
7.8000000000000005e-07,9.8400000000000007e-05
7.85e-07,7.1299999999999998e-05
7.9000000000000006e-07,5.1799999999999999e-05
7.9500000000000001e-07,3.7700000000000002e-05
8.0000000000000007e-07,2.7599999999999997e-05
8.0500000000000002e-07,2.0299999999999999e-05
8.1000000000000008e-07,1.4899999999999998e-05
8.1500000000000003e-07,1.1e-05
8.2000000000000009e-07,8.1799999999999996e-06
8.2500000000000004e-07,6.0900000000000001e-06
8.300000000000001e-07,4.5499999999999996e-06
