wavelength,TCS13
3.6e-07,0.071
3.65e-07,0.076
3.7e-07,0.082
3.75e-07,0.09
3.8e-07,0.104
3.85e-07,0.127
3.9e-07,0.161
3.95e-07,0.211
4e-07,0.264
4.05e-07,0.313
4.1e-07,0.341
4.15e-07,0.352
4.2e-07,0.359
4.25e-07,0.361
4.3e-07,0.364
4.35e-07,0.365
4.4e-07,0.367
4.45e-07,0.369
4.5e-07,0.372
4.55e-07,0.374
4.6e-07,0.376
4.65e-07,0.379
4.7e-07,0.384
4.75e-07,0.389
4.8e-07,0.397
4.85e-07,0.405
4.9e-07,0.416
4.95e-07,0.429
5e-07,0.443
5.05e-07,0.454
5.1e-07,0.461
5.15e-07,0.466
5.2e-07,0.469
5.25e-07,0.471
5.3e-07,0.474
5.35e-07,0.476
5.4e-07,0.483
5.45e-07,0.49
5.5e-07,0.506
5.55e-07,0.526
5.6e-07,0.553
5.65e-07,0.582
5.7e-07,0.618
5.75e-07,0.651
5.8e-07,0.68
5.85e-07,0.701
5.9e-07,0.717
5.95e-07,0.729
6e-07,0.736
6.05e-07,0.742
6.1e-07,0.745
6.15e-07,0.747
6.2e-07,0.748
6.25e-07,0.748
6.3e-07,0.748
6.35e-07,0.748
6.4e-07,0.748
6.45e-07,0.748
6.5e-07,0.748
6.55e-07,0.748
6.6e-07,0.747
6.65e-07,0.747
6.7e-07,0.747
6.75e-07,0.747
6.8e-07,0.747
6.85e-07,0.747
6.9e-07,0.747
6.95e-07,0.746
7e-07,0.746
7.05e-07,0.746
7.1e-07,0.745
7.15e-07,0.744
7.2e-07,0.743
7.25e-07,0.744
7.3e-07,0.745
7.35e-07,0.748
7.4e-07,0.75
7.45e-07,0.75
7.5e-07,0.749
7.55e-07,0.748
7.6e-07,0.748
7.65e-07,0.747
7.7e-07,0.747
7.75e-07,0.747
7.8e-07,0.747
7.85e-07,0.746
7.9e-07,0.746
7.95e-07,0.746
8e-07,0.746
8.05e-07,0.745
8.1e-07,0.745
8.15e-07,0.745
8.2e-07,0.745
8.25e-07,0.745
8.3e-07,0.745
