wavelength,TCS07
3.6e-07,0.15
3.65e-07,0.177
3.7e-07,0.218
3.75e-07,0.293
3.8e-07,0.378
3.85e-07,0.459
3.9e-07,0.524
3.95e-07,0.546
4e-07,0.551
4.05e-07,0.555
4.1e-07,0.559
4.15e-07,0.56
4.2e-07,0.561
4.25e-07,0.558
4.3e-07,0.556
4.35e-07,0.551
4.4e-07,0.544
4.45e-07,0.535
4.5e-07,0.522
4.55e-07,0.506
4.6e-07,0.488
4.65e-07,0.469
4.7e-07,0.448
4.75e-07,0.429
4.8e-07,0.408
4.85e-07,0.385
4.9e-07,0.363
4.95e-07,0.341
5e-07,0.324
5.05e-07,0.311
5.1e-07,0.301
5.15e-07,0.291
5.2e-07,0.283
5.25e-07,0.273
5.3e-07,0.265
5.35e-07,0.26
5.4e-07,0.257
5.45e-07,0.257
5.5e-07,0.259
5.55e-07,0.26
5.6e-07,0.26
5.65e-07,0.258
5.7e-07,0.256
5.75e-07,0.254
5.8e-07,0.254
5.85e-07,0.259
5.9e-07,0.27
5.95e-07,0.284
6e-07,0.302
6.05e-07,0.324
6.1e-07,0.344
6.15e-07,0.362
6.2e-07,0.377
6.25e-07,0.389
6.3e-07,0.4
6.35e-07,0.41
6.4e-07,0.42
6.45e-07,0.429
6.5e-07,0.438
6.55e-07,0.445
6.6e-07,0.452
6.65e-07,0.457
6.7e-07,0.462
6.75e-07,0.466
6.8e-07,0.468
6.85e-07,0.47
6.9e-07,0.473
6.95e-07,0.477
7e-07,0.483
7.05e-07,0.489
7.1e-07,0.496
7.15e-07,0.503
7.2e-07,0.511
7.25e-07,0.518
7.3e-07,0.525
7.35e-07,0.532
7.4e-07,0.539
7.45e-07,0.546
7.5e-07,0.553
7.55e-07,0.559
7.6e-07,0.565
7.65e-07,0.57
7.7e-07,0.575
7.75e-07,0.578
7.8e-07,0.581
7.85e-07,0.583
7.9e-07,0.585
7.95e-07,0.587
8e-07,0.588
8.05e-07,0.589
8.1e-07,0.59
8.15e-07,0.59
8.2e-07,0.59
8.25e-07,0.591
8.3e-07,0.592
