wavelength,TCS03
3.6e-07,0.058
3.65e-07,0.059
3.7e-07,0.061
3.75e-07,0.063
3.8e-07,0.065
3.85e-07,0.068
3.9e-07,0.07
3.95e-07,0.072
4e-07,0.073
4.05e-07,0.073
4.1e-07,0.074
4.15e-07,0.074
4.2e-07,0.074
4.25e-07,0.073
4.3e-07,0.073
4.35e-07,0.073
4.4e-07,0.073
4.45e-07,0.073
4.5e-07,0.074
4.55e-07,0.075
4.6e-07,0.077
4.65e-07,0.08
4.7e-07,0.085
4.75e-07,0.094
4.8e-07,0.109
4.85e-07,0.126
4.9e-07,0.148
4.95e-07,0.172
5e-07,0.198
5.05e-07,0.221
5.1e-07,0.241
5.15e-07,0.26
5.2e-07,0.278
5.25e-07,0.302
5.3e-07,0.339
5.35e-07,0.37
5.4e-07,0.392
5.45e-07,0.399
5.5e-07,0.4
5.55e-07,0.393
5.6e-07,0.38
5.65e-07,0.365
5.7e-07,0.349
5.75e-07,0.332
5.8e-07,0.315
5.85e-07,0.299
5.9e-07,0.285
5.95e-07,0.272
6e-07,0.264
6.05e-07,0.257
6.1e-07,0.252
6.15e-07,0.247
6.2e-07,0.241
6.25e-07,0.235
6.3e-07,0.229
6.35e-07,0.224
6.4e-07,0.22
6.45e-07,0.217
6.5e-07,0.216
6.55e-07,0.216
6.6e-07,0.219
6.65e-07,0.224
6.7e-07,0.23
6.75e-07,0.238
6.8e-07,0.251
6.85e-07,0.269
6.9e-07,0.288
6.95e-07,0.312
7e-07,0.34
7.05e-07,0.366
7.1e-07,0.39
7.15e-07,0.412
7.2e-07,0.431
7.25e-07,0.447
7.3e-07,0.46
7.35e-07,0.472
7.4e-07,0.481
7.45e-07,0.488
7.5e-07,0.493
7.55e-07,0.497
7.6e-07,0.5
7.65e-07,0.502
7.7e-07,0.505
7.75e-07,0.51
7.8e-07,0.516
7.85e-07,0.52
7.9e-07,0.524
7.95e-07,0.527
8e-07,0.531
8.05e-07,0.535
8.1e-07,0.539
8.15e-07,0.544
8.2e-07,0.548
8.25e-07,0.552
8.3e-07,0.555
