wavelength,TCS05
3.6e-07,0.143
3.65e-07,0.187
3.7e-07,0.233
3.75e-07,0.269
3.8e-07,0.295
3.85e-07,0.306
3.9e-07,0.31
3.95e-07,0.312
4e-07,0.313
4.05e-07,0.315
4.1e-07,0.319
4.15e-07,0.322
4.2e-07,0.326
4.25e-07,0.33
4.3e-07,0.334
4.35e-07,0.339
4.4e-07,0.346
4.45e-07,0.352
4.5e-07,0.36
4.55e-07,0.369
4.6e-07,0.381
4.65e-07,0.394
4.7e-07,0.403
4.75e-07,0.41
4.8e-07,0.415
4.85e-07,0.418
4.9e-07,0.419
4.95e-07,0.417
5e-07,0.413
5.05e-07,0.409
5.1e-07,0.403
5.15e-07,0.396
5.2e-07,0.389
5.25e-07,0.381
5.3e-07,0.372
5.35e-07,0.363
5.4e-07,0.353
5.45e-07,0.342
5.5e-07,0.331
5.55e-07,0.32
5.6e-07,0.308
5.65e-07,0.296
5.7e-07,0.284
5.75e-07,0.271
5.8e-07,0.26
5.85e-07,0.247
5.9e-07,0.232
5.95e-07,0.22
6e-07,0.21
6.05e-07,0.2
6.1e-07,0.194
6.15e-07,0.189
6.2e-07,0.185
6.25e-07,0.183
6.3e-07,0.18
6.35e-07,0.177
6.4e-07,0.176
6.45e-07,0.175
6.5e-07,0.175
6.55e-07,0.175
6.6e-07,0.175
6.65e-07,0.177
6.7e-07,0.18
6.75e-07,0.183
6.8e-07,0.186
6.85e-07,0.189
6.9e-07,0.192
6.95e-07,0.195
7e-07,0.199
7.05e-07,0.2
7.1e-07,0.199
7.15e-07,0.198
7.2e-07,0.196
7.25e-07,0.195
7.3e-07,0.195
7.35e-07,0.196
7.4e-07,0.197
7.45e-07,0.2
7.5e-07,0.203
7.55e-07,0.205
7.6e-07,0.208
7.65e-07,0.212
7.7e-07,0.215
7.75e-07,0.217
7.8e-07,0.219
7.85e-07,0.222
7.9e-07,0.226
7.95e-07,0.231
8e-07,0.237
8.05e-07,0.243
8.1e-07,0.249
8.15e-07,0.257
8.2e-07,0.265
8.25e-07,0.273
8.3e-07,0.28
