wavelength,TCS09
3.6e-07,0.069
3.65e-07,0.072
3.7e-07,0.073
3.75e-07,0.07
3.8e-07,0.066
3.85e-07,0.062
3.9e-07,0.058
3.95e-07,0.055
4e-07,0.052
4.05e-07,0.052
4.1e-07,0.051
4.15e-07,0.05
4.2e-07,0.05
4.25e-07,0.049
4.3e-07,0.048
4.35e-07,0.047
4.4e-07,0.046
4.45e-07,0.044
4.5e-07,0.042
4.55e-07,0.041
4.6e-07,0.038
4.65e-07,0.035
4.7e-07,0.033
4.75e-07,0.031
4.8e-07,0.03
4.85e-07,0.029
4.9e-07,0.028
4.95e-07,0.028
5e-07,0.028
5.05e-07,0.029
5.1e-07,0.03
5.15e-07,0.03
5.2e-07,0.031
5.25e-07,0.031
5.3e-07,0.032
5.35e-07,0.032
5.4e-07,0.033
5.45e-07,0.034
5.5e-07,0.035
5.55e-07,0.037
5.6e-07,0.041
5.65e-07,0.044
5.7e-07,0.048
5.75e-07,0.052
5.8e-07,0.06
5.85e-07,0.076
5.9e-07,0.102
5.95e-07,0.136
6e-07,0.19
6.05e-07,0.256
6.1e-07,0.336
6.15e-07,0.418
6.2e-07,0.505
6.25e-07,0.581
6.3e-07,0.641
6.35e-07,0.682
6.4e-07,0.717
6.45e-07,0.74
6.5e-07,0.758
6.55e-07,0.77
6.6e-07,0.781
6.65e-07,0.79
6.7e-07,0.797
6.75e-07,0.803
6.8e-07,0.809
6.85e-07,0.814
6.9e-07,0.819
6.95e-07,0.824
7e-07,0.828
7.05e-07,0.83
7.1e-07,0.831
7.15e-07,0.833
7.2e-07,0.835
7.25e-07,0.836
7.3e-07,0.836
7.35e-07,0.837
7.4e-07,0.838
7.45e-07,0.839
7.5e-07,0.839
7.55e-07,0.839
7.6e-07,0.839
7.65e-07,0.839
7.7e-07,0.839
7.75e-07,0.839
7.8e-07,0.839
7.85e-07,0.839
7.9e-07,0.839
7.95e-07,0.839
8e-07,0.839
8.05e-07,0.839
8.1e-07,0.838
8.15e-07,0.837
8.2e-07,0.837
8.25e-07,0.836
8.3e-07,0.836
