wavelength,z_bar
6.29e-07,-1.26217744835e-29
6.3e-07,1.77493703675e-30
6.31e-07,9.3677232495e-31
6.32e-07,2.46519032882e-32
6.33e-07,6.16297582204e-33
6.34e-07,1.54074395551e-33
6.35e-07,7.31853378867e-33
6.36e-07,1.34815096107e-33
6.37e-07,2.76852429506e-34
6.38e-07,-1.80555932286e-35
6.39e-07,-1.50463276905e-36
6.4e-07,-7.52316384526e-37
6.41e-07,8.46355932592e-37
6.42e-07,4.70197740329e-37
6.43e-07,-3.52648305247e-38
6.44e-07,4.40810381558e-39
6.45e-07,8.44886564654e-39
6.46e-07,-8.26519465422e-40
6.47e-07,-2.29588740395e-41
6.48e-07,-2.86985925494e-41
6.49e-07,5.73971850987e-42
6.5e-07,4.30478888241e-42
6.51e-07,-2.51112684807e-42
6.52e-07,-8.07147915451e-43
6.53e-07,-2.24207754292e-44
6.54e-07,-1.96181785005e-44
6.55e-07,9.80908925027e-45
6.56e-07,1.05097384824e-45
6.57e-07,1.05097384824e-45
6.58e-07,-4.37905770102e-47
6.59e-07,-1.64214663788e-47
6.6e-07,-8.2107331894e-48
6.61e-07,-2.05268329735e-48
6.62e-07,-3.16455341675e-48
6.63e-07,4.27642353615e-50
6.64e-07,0.0
6.65e-07,1.60365882606e-50
6.66e-07,2.67276471009e-51
6.67e-07,3.34095588762e-52
6.68e-07,-1.67047794381e-52
6.69e-07,-1.04404871488e-53
6.7e-07,-1.82708525104e-53
6.71e-07,4.5677131276e-54
6.72e-07,-1.3050608936e-54
6.73e-07,-4.0783152925e-55
6.74e-07,3.36461011631e-55
6.75e-07,-7.64684117344e-57
6.76e-07,-8.28407793789e-57
6.77e-07,-1.59309191113e-58
6.78e-07,8.76200551123e-58
6.79e-07,3.78359328894e-58
6.8e-07,0.0
6.81e-07,-7.46761833343e-60
6.82e-07,-3.11150763893e-61
6.83e-07,1.55575381947e-60
6.84e-07,-9.72346137166e-62
6.85e-07,1.06958075088e-61
6.86e-07,-3.76784128152e-62
6.87e-07,2.43086534291e-63
6.88e-07,-7.59645419661e-64
6.89e-07,7.59645419661e-65
6.9e-07,3.7982270983e-65
6.91e-07,-3.08605951737e-65
6.92e-07,0.0
6.93e-07,4.45104738082e-67
6.94e-07,-1.11276184521e-67
6.95e-07,-1.57641261404e-67
6.96e-07,-4.17285691952e-68
6.97e-07,-5.79563461045e-70
6.98e-07,2.46314470944e-69
6.99e-07,0.0
7e-07,-1.08668148946e-70
7.01e-07,4.98062349335e-71
7.02e-07,-9.05567907883e-72
7.03e-07,1.69793982728e-72
7.04e-07,6.3672743523e-73
7.05e-07,-1.23808112406e-73
7.06e-07,-4.86389013023e-74
7.07e-07,1.54760140507e-74
7.08e-07,-1.93450175634e-75
7.09e-07,0.0
7.1e-07,-1.72723371102e-76
7.11e-07,8.63616855509e-77
7.12e-07,0.0
7.13e-07,-2.15904213877e-78
7.14e-07,-1.34940133673e-78
7.15e-07,-6.0723060153e-79
7.16e-07,-7.59038251913e-80
7.17e-07,2.9518154241e-80
7.18e-07,-1.00150880461e-80
7.19e-07,0.0
7.2e-07,3.29443685726e-82
7.21e-07,-6.58887371452e-83
7.22e-07,-2.8826322501e-83
7.23e-07,4.11804607157e-84
7.24e-07,-2.83115667421e-84
7.25e-07,-6.43444698684e-86
7.26e-07,3.21722349342e-86
7.27e-07,6.43444698684e-86
