wavelength,y_bar
6.07e-07,0.5411372
6.08e-07,0.5283528
6.09e-07,0.5156323
6.1e-07,0.503
6.11e-07,0.4904688
6.12e-07,0.4780304
6.13e-07,0.4656776
6.14e-07,0.4534032
6.15e-07,0.4412
6.16e-07,0.42908
6.17e-07,0.417036
6.18e-07,0.405032
6.19e-07,0.393032
6.2e-07,0.381
6.21e-07,0.3689184
6.22e-07,0.3568272
6.23e-07,0.3447768
6.24e-07,0.3328176
6.25e-07,0.321
6.26e-07,0.3093381
6.27e-07,0.2978504
6.28e-07,0.2865936
6.29e-07,0.2756245
6.3e-07,0.265
6.31e-07,0.2547632
6.32e-07,0.2448896
6.33e-07,0.2353344
6.34e-07,0.2260528
6.35e-07,0.217
6.36e-07,0.2081616
6.37e-07,0.1995488
6.38e-07,0.1911552
6.39e-07,0.1829744
6.4e-07,0.175
6.41e-07,0.1672235
6.42e-07,0.1596464
6.43e-07,0.1522776
6.44e-07,0.1451259
6.45e-07,0.1382
6.46e-07,0.1315003
6.47e-07,0.1250248
6.48e-07,0.1187792
6.49e-07,0.1127691
6.5e-07,0.107
6.51e-07,0.1014762
6.52e-07,0.09618864
6.53e-07,0.09112296
6.54e-07,0.08626485
6.55e-07,0.0816
6.56e-07,0.07712064
6.57e-07,0.07282552
6.58e-07,0.06871008
6.59e-07,0.06476976
6.6e-07,0.061
6.61e-07,0.05739621
6.62e-07,0.05395504
6.63e-07,0.05067376
6.64e-07,0.04754965
6.65e-07,0.04458
6.66e-07,0.04175872
6.67e-07,0.03908496
6.68e-07,0.03656384
6.69e-07,0.03420048
6.7e-07,0.032
6.71e-07,0.02996261
6.72e-07,0.02807664
6.73e-07,0.02632936
6.74e-07,0.02470805
6.75e-07,0.0232
6.76e-07,0.02180077
6.77e-07,0.02050112
6.78e-07,0.01928108
6.79e-07,0.01812069
6.8e-07,0.017
6.81e-07,0.01590379
6.82e-07,0.01483718
6.83e-07,0.01381068
6.84e-07,0.01283478
6.85e-07,0.01192
6.86e-07,0.01106831
6.87e-07,0.01027339
6.88e-07,0.009533311
6.89e-07,0.008846157
6.9e-07,0.00821
6.91e-07,0.007623781
6.92e-07,0.007085424
6.93e-07,0.006591476
6.94e-07,0.006138485
6.95e-07,0.005723
6.96e-07,0.005343059
6.97e-07,0.004995796
6.98e-07,0.004676404
6.99e-07,0.004380075
7e-07,0.004102
7.01e-07,0.003838453
7.02e-07,0.003589099
7.03e-07,0.003354219
7.04e-07,0.003134093
7.05e-07,0.002929
7.06e-07,0.002738139
7.07e-07,0.002559876
7.08e-07,0.002393244
7.09e-07,0.002237275
7.1e-07,0.002091
7.11e-07,0.001953587
7.12e-07,0.00182458
7.13e-07,0.00170358
7.14e-07,0.001590187
7.15e-07,0.001484
7.16e-07,0.001384496
7.17e-07,0.001291268
7.18e-07,0.001204092
7.19e-07,0.001122744
7.2e-07,0.001047
7.21e-07,0.0009765896
7.22e-07,0.0009111088
7.23e-07,0.0008501332
7.24e-07,0.0007932384
7.25e-07,0.00074
7.26e-07,0.0006900827
7.27e-07,0.00064331
7.28e-07,0.000599496
7.29e-07,0.0005584547
7.3e-07,0.00052
7.31e-07,0.0004839136
7.32e-07,0.0004500528
7.33e-07,0.0004183452
7.34e-07,0.0003887184
7.35e-07,0.0003611
7.36e-07,0.0003353835
7.37e-07,0.0003114404
7.38e-07,0.0002891656
7.39e-07,0.0002684539
7.4e-07,0.0002492
7.41e-07,0.0002313019
7.42e-07,0.0002146856
