wavelength,z_bar
6.08e-07,0.0004354
6.09e-07,0.0003834667
6.1e-07,0.00034
6.11e-07,0.0003072533
6.12e-07,0.00028316
6.13e-07,0.00026544
6.14e-07,0.0002518133
6.15e-07,0.00024
6.16e-07,0.0002295467
6.17e-07,0.00022064
6.18e-07,0.00021196
6.19e-07,0.0002021867
6.2e-07,0.00019
6.21e-07,0.0001742133
6.22e-07,0.00015564
6.23e-07,0.00013596
6.24e-07,0.0001168533
6.25e-07,0.0001
6.26e-07,8.613333e-05
6.27e-07,7.46e-05
6.28e-07,6.5e-05
6.29e-07,5.693333e-05
6.3e-07,4.999999e-05
6.31e-07,4.416e-05
6.32e-07,3.948e-05
6.33e-07,3.572e-05
6.34e-07,3.264e-05
6.35e-07,3e-05
6.36e-07,2.765333e-05
6.37e-07,2.556e-05
6.38e-07,2.364e-05
6.39e-07,2.181333e-05
6.4e-07,2e-05
6.41e-07,1.813333e-05
6.42e-07,1.62e-05
6.43e-07,1.42e-05
6.44e-07,1.213333e-05
6.45e-07,1e-05
6.46e-07,7.733333e-06
6.47e-07,5.4e-06
6.48e-07,3.2e-06
6.49e-07,1.333333e-06
6.5e-07,0.0
6.51e-07,0.0
6.52e-07,0.0
6.53e-07,0.0
6.54e-07,0.0
6.55e-07,0.0
6.56e-07,0.0
6.57e-07,0.0
6.58e-07,0.0
6.59e-07,0.0
6.6e-07,0.0
6.61e-07,0.0
6.62e-07,0.0
6.63e-07,0.0
6.64e-07,0.0
6.65e-07,0.0
6.66e-07,0.0
6.67e-07,0.0
6.68e-07,0.0
6.69e-07,0.0
6.7e-07,0.0
6.71e-07,0.0
6.72e-07,0.0
6.73e-07,0.0
6.74e-07,0.0
6.75e-07,0.0
6.76e-07,0.0
6.77e-07,0.0
6.78e-07,0.0
6.79e-07,0.0
6.8e-07,0.0
6.81e-07,0.0
6.82e-07,0.0
6.83e-07,0.0
6.84e-07,0.0
6.85e-07,0.0
6.86e-07,0.0
6.87e-07,0.0
6.88e-07,0.0
6.89e-07,0.0
6.9e-07,0.0
6.91e-07,0.0
6.92e-07,0.0
6.93e-07,0.0
6.94e-07,0.0
6.95e-07,0.0
6.96e-07,0.0
6.97e-07,0.0
6.98e-07,0.0
6.99e-07,0.0
7e-07,0.0
7.01e-07,0.0
7.02e-07,0.0
7.03e-07,0.0
7.04e-07,0.0
7.05e-07,0.0
7.06e-07,0.0
7.07e-07,0.0
7.08e-07,0.0
7.09e-07,0.0
7.1e-07,0.0
7.11e-07,0.0
7.12e-07,0.0
7.13e-07,0.0
7.14e-07,0.0
7.15e-07,0.0
7.16e-07,0.0
7.17e-07,0.0
7.18e-07,0.0
7.19e-07,0.0
7.2e-07,0.0
7.21e-07,0.0
7.22e-07,0.0
7.23e-07,0.0
7.24e-07,0.0
7.25e-07,0.0
7.26e-07,0.0
7.27e-07,0.0
7.28e-07,0.0
7.29e-07,0.0
7.3e-07,0.0
7.31e-07,0.0
7.32e-07,0.0
7.33e-07,0.0
7.34e-07,0.0
7.35e-07,0.0
7.36e-07,0.0
7.37e-07,0.0
7.38e-07,0.0
7.39e-07,0.0
7.4e-07,0.0
7.41e-07,0.0
7.42e-07,0.0
7.43e-07,0.0
7.44e-07,0.0
7.45e-07,0.0
7.46e-07,0.0
7.47e-07,0.0
7.48e-07,0.0
7.49e-07,0.0
7.5e-07,0.0
7.51e-07,0.0
7.52e-07,0.0
7.53e-07,0.0
7.54e-07,0.0
7.55e-07,0.0
7.56e-07,0.0
7.57e-07,0.0
7.58e-07,0.0
7.59e-07,0.0
7.6e-07,0.0
7.61e-07,0.0
7.62e-07,0.0
7.63e-07,0.0
7.64e-07,0.0
7.65e-07,0.0
7.66e-07,0.0
7.67e-07,0.0
7.68e-07,0.0
7.69e-07,0.0
7.7e-07,0.0
7.71e-07,0.0
7.72e-07,0.0
7.73e-07,0.0
7.74e-07,0.0
7.75e-07,0.0
7.76e-07,0.0
7.77e-07,0.0
7.78e-07,0.0
7.79e-07,0.0
7.8e-07,0.0
7.81e-07,0.0
7.82e-07,0.0
7.83e-07,0.0
7.84e-07,0.0
7.85e-07,0.0
7.86e-07,0.0
7.87e-07,0.0
7.88e-07,0.0
7.89e-07,0.0
7.9e-07,0.0
7.91e-07,0.0
7.92e-07,0.0
7.93e-07,0.0
7.94e-07,0.0
7.95e-07,0.0
7.96e-07,0.0
7.97e-07,0.0
7.98e-07,0.0
7.99e-07,0.0
8e-07,0.0
8.01e-07,0.0
8.02e-07,0.0
8.03e-07,0.0
8.04e-07,0.0
8.05e-07,0.0
8.06e-07,0.0
8.07e-07,0.0
8.08e-07,0.0
8.09e-07,0.0
8.1e-07,0.0
8.11e-07,0.0
8.12e-07,0.0
8.13e-07,0.0
8.14e-07,0.0
8.15e-07,0.0
8.16e-07,0.0
8.17e-07,0.0
8.18e-07,0.0
8.19e-07,0.0
8.2e-07,0.0
8.21e-07,0.0
8.22e-07,0.0
8.23e-07,0.0
8.24e-07,0.0
8.25e-07,0.0
8.26e-07,0.0
8.27e-07,0.0
8.28e-07,0.0
8.29e-07,0.0
8.3e-07,0.0
