wavelength,green
3.8000000000000001e-07,0.0018
3.8500000000000002e-07,0.0016000000000000003
3.9000000000000002e-07,0.002
3.9500000000000003e-07,0.0020999999999999999
4.0000000000000003e-07,0.0024999999999999996
4.0500000000000004e-07,0.0030000000000000001
4.1000000000000004e-07,0.0043
4.1500000000000005e-07,0.005899999999999999
4.2e-07,0.0079000000000000008
4.2500000000000001e-07,0.0104
4.3000000000000001e-07,0.0126
4.3500000000000002e-07,0.014700000000000001
4.4000000000000002e-07,0.017000000000000001
4.4500000000000003e-07,0.019099999999999999
4.5000000000000003e-07,0.021999999999999999
4.5500000000000004e-07,0.026700000000000002
4.6000000000000004e-07,0.034000000000000002
4.6500000000000005e-07,0.046199999999999998
4.7000000000000005e-07,0.064899999999999985
4.75e-07,0.093600000000000003
4.8000000000000006e-07,0.13450000000000004
4.8500000000000002e-07,0.18620000000000003
4.9000000000000007e-07,0.24849999999999997
4.9500000000000003e-07,0.31900000000000006
5.0000000000000008e-07,0.39639999999999997
5.0500000000000004e-07,0.46909999999999996
5.0999999999999999e-07,0.53049999999999997
5.1500000000000005e-07,0.58260000000000012
5.2e-07,0.61950000000000005
5.2500000000000006e-07,0.63859999999999983
5.3000000000000001e-07,0.64139999999999986
5.3500000000000007e-07,0.63480000000000003
5.4000000000000002e-07,0.61890000000000001
5.4500000000000008e-07,0.59319999999999995
5.5000000000000003e-07,0.55620000000000003
5.5500000000000009e-07,0.51429999999999998
5.6000000000000004e-07,0.46060000000000001
5.6499999999999999e-07,0.39929999999999999
5.7000000000000005e-07,0.32970000000000005
5.75e-07,0.27189999999999998
5.8000000000000006e-07,0.22140000000000001
5.8500000000000001e-07,0.1769
5.9000000000000007e-07,0.14069999999999999
5.9500000000000002e-07,0.11550000000000001
6.0000000000000008e-07,0.093799999999999981
6.0500000000000003e-07,0.075899999999999995
6.1000000000000009e-07,0.061399999999999996
6.1500000000000004e-07,0.052199999999999996
6.1999999999999999e-07,0.045499999999999999
6.2500000000000005e-07,0.043700000000000003
6.3e-07,0.027800000000000002
6.3500000000000006e-07,0.017999999999999995
6.4000000000000001e-07,0.013599999999999998
6.4500000000000007e-07,0.010700000000000001
6.5000000000000002e-07,0.0085000000000000006
6.5500000000000008e-07,0.0066999999999999994
6.6000000000000003e-07,0.0054999999999999997
6.6500000000000009e-07,0.0044000000000000003
6.7000000000000004e-07,0.0038999999999999998
6.75e-07,0.0033
6.8000000000000005e-07,0.0029999999999999996
6.8500000000000001e-07,0.0027999999999999995
6.9000000000000006e-07,0.0023
6.9500000000000002e-07,0.0028
7.0000000000000007e-07,0.0077999999999999996
7.0500000000000003e-07,0.011299999999999999
7.1000000000000008e-07,0.0038999999999999994
7.1500000000000004e-07,0.0011000000000000001
7.2000000000000009e-07,0.00089999999999999987
7.2500000000000005e-07,0.00080000000000000004
7.3e-07,0.00089999999999999998
7.3500000000000006e-07,0.0011000000000000003
7.4000000000000001e-07,0.00089999999999999998
7.4500000000000007e-07,0.001
7.5000000000000002e-07,0.0011000000000000001
7.5500000000000008e-07,0.0012999999999999999
7.6000000000000003e-07,0.0015
7.6500000000000009e-07,0.0018
7.7000000000000004e-07,0.0020999999999999999
7.750000000000001e-07,0.0014999999999999998
7.8000000000000005e-07,0.0018
