wavelength,blue
3.8e-07,0.0219
3.85e-07,0.0336
3.9e-07,0.0524
3.95e-07,0.0785
4e-07,0.113
4.05e-07,0.1624
4.1e-07,0.2312
4.15e-07,0.3214
4.2e-07,0.4263
4.25e-07,0.5365
4.3e-07,0.6296
4.35e-07,0.6994
4.4e-07,0.747
4.45e-07,0.7654
4.5e-07,0.7519
4.55e-07,0.7151
4.6e-07,0.6619
4.65e-07,0.5955
4.7e-07,0.5177
4.75e-07,0.4327
4.8e-07,0.3507
4.85e-07,0.2849
4.9e-07,0.2278
4.95e-07,0.1809
5e-07,0.1408
5.05e-07,0.1084
5.1e-07,0.0855
5.15e-07,0.0676
5.2e-07,0.0537
5.25e-07,0.0422
5.3e-07,0.0341
5.35e-07,0.0284
5.4e-07,0.0238
5.45e-07,0.0197
5.5e-07,0.0165
5.55e-07,0.0143
5.6e-07,0.0119
5.65e-07,0.0099
5.7e-07,0.0079
5.75e-07,0.0065
5.8e-07,0.0057
5.85e-07,0.0051
5.9e-07,0.0047
5.95e-07,0.0043
6e-07,0.0029
6.05e-07,0.0023
6.1e-07,0.0036
6.15e-07,0.0061
6.2e-07,0.0088
6.25e-07,0.0141
6.3e-07,0.006
6.35e-07,0.0015
6.4e-07,0.0008
6.45e-07,0.0006
6.5e-07,0.0006
6.55e-07,0.0007
6.6e-07,0.0006
6.65e-07,0.0005
6.7e-07,0.0006
6.75e-07,0.0005
6.8e-07,0.0007
6.85e-07,0.001
6.9e-07,0.001
6.95e-07,0.0016
7e-07,0.006
7.05e-07,0.0094
7.1e-07,0.003
7.15e-07,0.0007
7.2e-07,0.0009
7.25e-07,0.0008
7.3e-07,0.0011
7.35e-07,0.001
7.4e-07,0.001
7.45e-07,0.0012
7.5e-07,0.0013
7.55e-07,0.0012
7.6e-07,0.0016
7.65e-07,0.0015
7.7e-07,0.0028
7.75e-07,0.0046
7.8e-07,0.0058
